URL link,Title,Date,title,description,keywords,og:title,og:description,og:type,og:url,og:site_name,og:locale,twitter:card,twitter:site,twitter:title,twitter:description,article:type,article:section,article:summary,mainEntityOfPage,datePublished,name,author,publisher,image,headline,@type,hasPart,isAccessibleForFree,@context,legalName,logo,url,telephone,sameAs,address,potentialAction,dateModified,itemListElement,thumbnailUrl,articleBody,dateCreated,isPartOf,articleSection,alternativeHeadline,@graph
https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LmZyb250aWVyc2luLm9yZy9hcnRpY2xlcy8xMC4zMzg5L2ZyYWkuMjAyMi44MzI3MzbSAQA?oc=5,Artificial Intelligence and Employment: New Cross-Country Evidence - Frontiers,2022-04-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LnRlY2h0YXJnZXQuY29tL3NlYXJjaGhyc29mdHdhcmUvbmV3cy8yNTI1MTU0NjcvTmV3LXN0dWR5LXJldmVhbHMtaG93LUFJLXdpbGwtY2hhbmdlLWZ1dHVyZS13b3JrcGxhY2Vz0gEA?oc=5,New study reveals how AI will change future workplaces - TechTarget,2022-04-01,N/A,"AI adoption may be bad news for middle managers, says a new study. Future workplaces will hire people with technical skills and give junior workers more power.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'@type': 'WebPage', '@id': 'https://www.techtarget.com/searchhrsoftware/news/252515467/New-study-reveals-how-AI-will-change-future-workplaces'}",2022-04-01T16:18Z,New study reveals how AI will change future workplaces ,"[{'name': 'Patrick Thibodeau', '@type': 'Person'}]","{'name': 'TechTarget', 'logo': {'url': 'https://cdn.ttgtmedia.com/rms/amp/amp_teal_logo_115_60.png', 'height': 60, 'width': 115, '@type': 'ImageObject'}, '@type': 'Organization'}",https://cdn.ttgtmedia.com/rms/onlineimages/telecommunications_g1247980427.jpg,New study reveals how AI will change future workplaces ,NewsArticle,"{'cssSelector': '.paywall', '@type': 'WebPageElement', 'isAccessibleForFree': False}",False,https://schema.org,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LnNocm0ub3JnL3RvcGljcy10b29scy9uZXdzL2FsbC10aGluZ3Mtd29yay9yZWd1bGF0aW9ucy1haGVhZC1hadIBAA?oc=5,The Rise of AI Regulations and Corporate Responsibility - SHRM,2022-04-01,N/A,Business leaders are discussing the responsible use of artificial intelligence. Soon they may need to walk the talk as laws regulating the responsible use of AI emerge.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,SHRM,"{'@type': 'Person', 'name': 'Tam Harbert', 'url': ''}",,/content/dam/en/shrm/topics-tools/atw/iStock-2012747478.jpg,The Rise of AI Regulations and Corporate Responsibility,NewsArticle,"{'@type': 'WebPageElement', 'isAccessibleForFree': 'false', 'cssSelector': '.content-metering-wrapper'}",false,https://schema.org,Society for Human Resource Management,https://shrm-res.cloudinary.com/image/upload/v1703622970/shrm-logo.png,https://www.shrm.org/,1-800-283-7476,"['http://twitter.com/SHRM', 'http://www.linkedin.com/company/shrm', 'https://www.facebook.com/SHRMHQ', 'http://www.youtube.com/shrmofficial', 'https://instagram.com/shrmofficial/', 'https://en.wikipedia.org/wiki/Society_for_Human_Resource_Management', 'https://www.wikidata.org/wiki/Q1527909', 'https://www.crunchbase.com/organization/shrm']","{'@type': 'PostalAddress', 'streetAddress': '1800 Duke Street', 'addressLocality': 'Alexandria', 'postalCode': '22314', 'addressCountry': 'United States'}","{'@type': 'SearchAction', 'target': 'https://www.shrm.org/search-results#q={search_term_string}', 'query-input': 'required name=search_term_string'}",2024-04-04T01:26:59.503Z,,,,,,,,
https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LndlZm9ydW0ub3JnL2FnZW5kYS8yMDIyLzA0L3dvbWVuLWluLWFpLWdlbmRlci1lcXVpdHktZ2FwL9IBAA?oc=5,Women in AI who are working to bridge the gender equity gap - World Economic Forum,2022-04-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLzUtdGltZXMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtaGF2ZS1idXN0ZWQtd29ybGQtY2hhbXBpb25z0gF-aHR0cHM6Ly93d3cuYW5hbHl0aWNzaW5zaWdodC5uZXQvYW1wL3N0b3J5L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLzUtdGltZXMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtaGF2ZS1idXN0ZWQtd29ybGQtY2hhbXBpb25z?oc=5,5 Times Artificial Intelligence Have Busted World Champions - Analytics Insight,2022-04-01,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'@type': 'WebPage', '@id': 'https://www.analyticsinsight.net/artificial-intelligence/5-times-artificial-intelligence-have-busted-world-champions'}",2022-04-01T03:00:35Z,5 Times Artificial Intelligence Have Busted World Champions,"[{'@type': 'Person', 'givenName': 'Arti', 'name': 'Arti', 'url': 'https://www.analyticsinsight.net/author/arti'}]","{'@type': 'Organization', '@context': 'http://schema.org', 'name': 'Analytics Insight', 'url': 'https://www.analyticsinsight.net', 'logo': {'@context': 'http://schema.org', '@type': 'ImageObject', 'author': 'analyticsinsight', 'contentUrl': 'https://images.assettype.com/analyticsinsight/2024-05/2df9abcd-45d0-437f-9a36-167417fe7202/AI_logo_white (2).png', 'url': 'https://images.assettype.com/analyticsinsight/2024-05/2df9abcd-45d0-437f-9a36-167417fe7202/AI_logo_white (2).png', 'name': 'logo', 'width': '', 'height': ''}, 'sameAs': ['https://www.linkedin.com/company/analytics-insight/', 'https://www.facebook.com/analyticsinsight.net', 'https://twitter.com/analyticsinme', 'https://www.youtube.com/channel/UCgF2J0b46YP0vvVEbgL_GuQ', 'https://www.instagram.com/analyticsinsightmagazine/', 'https://in.pinterest.com/analyticsinsightsubmissions/_created/'], 'id': 'https://www.analyticsinsight.net'}","{'@type': 'ImageObject', 'url': 'https://media.assettype.com/analyticsinsight/import/wp-content/uploads/2022/03/5-Times-Artificial-Intelligence-Have-Busted-World-Champions.jpg?w=1200&h=675&auto=format%2Ccompress&fit=max&enlarge=true', 'width': '1200', 'height': '675'}",5 Times Artificial Intelligence Have Busted World Champions,NewsArticle,,,http://schema.org,,,https://www.analyticsinsight.net/artificial-intelligence/5-times-artificial-intelligence-have-busted-world-champions,,,,,2022-04-01T03:00:35Z,"[{'@type': 'ListItem', 'position': 1, 'name': 'Home', 'item': 'https://www.analyticsinsight.net'}, {'@type': 'ListItem', 'position': 2, 'name': 'Artificial Intelligence', 'item': 'https://www.analyticsinsight.net/artificial-intelligence'}, {'@type': 'ListItem', 'position': 3, 'name': '5 Times Artificial Intelligence Have Busted World Champions', 'item': 'https://www.analyticsinsight.net/artificial-intelligence/5-times-artificial-intelligence-have-busted-world-champions'}]",https://media.assettype.com/analyticsinsight/import/wp-content/uploads/2022/03/5-Times-Artificial-Intelligence-Have-Busted-World-Champions.jpg?w=1200&h=675&auto=format%2Ccompress&fit=max&enlarge=true,"Artificial intelligence has beaten eight world champions at the bridge.Even though people are not ready to accept the fact, there will be a point in the future when Artificial Intelligence (AI) will take over the human race when it comes to various jobs. Some analysts estimate that over 50% of jobs in the world will be lost to Artificial Intelligence in forthcoming years. Jobs like accounting, human resources, management, and more will be obsolete some time in the future, thanks to Artificial intelligence. However, you don't have to wait till 2030 to find out how technologies like Artificial intelligence, Robotics, Machine Learning, and more will overtake mankind as it's already beating humans in the most strategic and complicated games like 'Chess' and 'Go' that have been used as a standard to determine intelligence or IQ levels. This article features five instances of Artificial intelligence busting world champions..1996: IBM's Deep Blue chess machine wins a game against world chess champion Garry Kasparov but loses the match 2-4. A year later, Kasparov loses the rematch. For comparison, one of the most powerful computers, Deep(er) Blue, was able to squeeze out 200 million moves per second.2007: Checkers is solved by researchers at the University of Alberta in Canada. After sifting through 500 billion positions, they build a checkers-playing computer program that can't be beaten.2011: IBM's Watson computer defeats TV game show Jeopardy! Champions Brad Rutter and Ken Jennings, claiming the US$1 million first prize.2016: Google DeepMind's AlphaGo defeats Korean Go champion Lee Sedol 4-1. The Korea Baduk Association awards AlphaGo the highest Go grandmaster rank, an honorary nine dan.2022: NukkAI's bridge-playing computer NooK, A 'next generation' artificial intelligence has beaten the records of eight world champion bridge players for the first time in Paris..The victory represents a new milestone for Artificial Intelligence because, in the bridge, players work with incomplete information and must react to the behavior of several other players – a scenario far closer to human decision-making..Disclaimer: Analytics Insight does not provide financial advice or guidance. Also note that the cryptocurrencies mentioned/listed on the website could potentially be scams, i.e. designed to induce you to invest financial resources that may be lost forever and not be recoverable once investments are made. You are responsible for conducting your own research (DYOR) before making any investments. Read more here.",2022-04-01T03:00:35Z,"{'@type': 'WebPage', 'url': 'https://www.analyticsinsight.net/artificial-intelligence/5-times-artificial-intelligence-have-busted-world-champions', 'primaryImageOfPage': {'@type': 'ImageObject', 'url': 'https://media.assettype.com/analyticsinsight/import/wp-content/uploads/2022/03/5-Times-Artificial-Intelligence-Have-Busted-World-Champions.jpg?w=1200&h=675&auto=format%2Ccompress&fit=max&enlarge=true', 'width': '1200', 'height': '675'}}",Artificial Intelligence,,
https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vaGJyLm9yZy9zcG9uc29yZWQvMjAyMi8wNC9mb3VyLXByYWN0aWNlcy15b3VyLW9yZ2FuaXphdGlvbi1tYXktbmVlZC10by1sZWFkLWl0cy1haS10cmFuc2Zvcm1hdGlvbtIBAA?oc=5,Four Practices Your Organization May Need to Lead Its AI Transformation - SPONSOR CONTENT FROM DELOITTE - HBR.org Daily,2022-04-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,WebSite,,,https://schema.org,,,https://hbr.org/,,,,"{'@type': 'SearchAction', 'target': 'https://hbr.org/search?term={search_term_string}', 'query-input': 'required name=search_term_string'}",,,,,,,,,
https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmNpby5jb20vYXJ0aWNsZS8zMDc5ODAvYWktdGFrZXMtYWltLWF0LWVtcGxveWVlLXR1cm5vdmVyLmh0bWzSAUlodHRwczovL3d3dy5jaW8uY29tL2FydGljbGUvMzA3OTgwL2FpLXRha2VzLWFpbS1hdC1lbXBsb3llZS10dXJub3Zlci5odG1s?oc=5,AI takes aim at employee turnover - CIO,2022-04-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiMGh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAyMi8wNC8wMS9haS1hY3QtcG93ZXJzL9IBAA?oc=5,EU's AI Act 'contains powers to order AI models destroyed' - TechCrunch,2022-04-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,https://schema.org,,,,,,,,,,,,,,,,"[{'@type': 'NewsArticle', '@id': 'https://techcrunch.com/2022/04/01/ai-act-powers/#article', 'isPartOf': {'@id': 'https://techcrunch.com/2022/04/01/ai-act-powers/'}, 'author': [{'@id': 'https://techcrunch.com/#/schema/person/image/3a33aa585c698cf1b5f6e35796a8747b'}], 'headline': 'Europe&#8217;s AI Act contains powers to order AI models destroyed or retrained, says legal expert', 'datePublished': '2022-04-01T18:24:57+00:00', 'dateModified': '2022-09-05T09:16:17+00:00', 'mainEntityOfPage': {'@id': 'https://techcrunch.com/2022/04/01/ai-act-powers/'}, 'wordCount': 2664, 'commentCount': 0, 'publisher': {'@id': 'https://techcrunch.com/#organization'}, 'image': {'@id': 'https://techcrunch.com/2022/04/01/ai-act-powers/#primaryimage'}, 'thumbnailUrl': 'https://techcrunch.com/wp-content/uploads/2022/02/GettyImages-1292185762.jpg', 'keywords': ['european commission', 'european union', 'artificial intelligence', 'law enforcement', 'machine learning', 'General Data Protection Regulation', 'AI regulation', 'AI Act', 'civil society', 'artificial intelligence act'], 'articleSection': ['AI'], 'inLanguage': 'en-US', 'speakable': {'@type': 'SpeakableSpecification', 'cssSelector': ['#speakable-summary']}, 'copyrightYear': '2022', 'copyrightHolder': {'@id': 'https://techcrunch.com/#organization'}}, {'@type': 'WebPage', '@id': 'https://techcrunch.com/2022/04/01/ai-act-powers/', 'url': 'https://techcrunch.com/2022/04/01/ai-act-powers/', 'name': ""EU's AI Act 'contains powers to order AI models destroyed'"", 'isPartOf': {'@id': 'https://techcrunch.com/#website'}, 'primaryImageOfPage': {'@id': 'https://techcrunch.com/2022/04/01/ai-act-powers/#primaryimage'}, 'image': {'@id': 'https://techcrunch.com/2022/04/01/ai-act-powers/#primaryimage'}, 'thumbnailUrl': 'https://techcrunch.com/wp-content/uploads/2022/02/GettyImages-1292185762.jpg', 'datePublished': '2022-04-01T18:24:57+00:00', 'dateModified': '2022-09-05T09:16:17+00:00', 'description': ""EU's planned risk-based framework to regulate artificial intelligence has powers to order the withdrawal of an AI system or require an AI model be retrained"", 'inLanguage': 'en-US', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://techcrunch.com/2022/04/01/ai-act-powers/']}]}, {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://techcrunch.com/2022/04/01/ai-act-powers/#primaryimage', 'url': 'https://techcrunch.com/wp-content/uploads/2022/02/GettyImages-1292185762.jpg', 'contentUrl': 'https://techcrunch.com/wp-content/uploads/2022/02/GettyImages-1292185762.jpg', 'width': 2000, 'height': 1334, 'caption': 'Machine learning analytics identify vehicles technology , Artificial intelligence concept. Software ui analytics and recognition cars vehicles in city.'}, {'@type': 'WebSite', '@id': 'https://techcrunch.com/#website', 'url': 'https://techcrunch.com/', 'name': 'TechCrunch', 'description': 'Startup and Technology News', 'publisher': {'@id': 'https://techcrunch.com/#organization'}, 'alternateName': 'TC', 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://techcrunch.com/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'en-US'}, {'@type': 'Organization', '@id': 'https://techcrunch.com/#organization', 'name': 'TechCrunch', 'alternateName': 'TC', 'url': 'https://techcrunch.com/', 'logo': {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://techcrunch.com/#/schema/logo/image/', 'url': 'https://techcrunch.com/wp-content/uploads/2018/04/tc-logo-2018-square-reverse2x.png?resize=1200,1200', 'contentUrl': 'https://techcrunch.com/wp-content/uploads/2018/04/tc-logo-2018-square-reverse2x.png?resize=1200,1200', 'width': 1200, 'height': 1200, 'caption': 'TechCrunch'}, 'image': {'@id': 'https://techcrunch.com/#/schema/logo/image/'}, 'sameAs': ['https://www.facebook.com/techcrunch', 'https://x.com/TechCrunch', 'https://mstdn.social/@TechCrunch', 'https://bsky.app/profile/techcrunch.bsky.social', 'https://www.threads.net/@techcrunch']}, {'@type': 'Person', '@id': 'https://techcrunch.com/#/schema/person/image/3a33aa585c698cf1b5f6e35796a8747b', 'name': 'Natasha Lomas', 'image': {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://techcrunch.com/#/schema/person/image/c58ca23b5db13bdcd817e28a376ddca3', 'url': 'https://secure.gravatar.com/avatar/68a02f90ad0a6349a7b852ddce6f93e4?s=96&d=identicon&r=g', 'contentUrl': 'https://secure.gravatar.com/avatar/68a02f90ad0a6349a7b852ddce6f93e4?s=96&d=identicon&r=g', 'caption': 'Natasha Lomas'}, 'description': 'Natasha is a senior reporter for TechCrunch, joining September 2012, based in Europe. She joined TC after a stint reviewing smartphones for CNET UK and, prior to that, more than five years covering business technology for silicon.com (now folded into TechRepublic), where she focused on mobile and wireless, telecoms & networking, and IT skills issues. She has also freelanced for organisations including The Guardian and the BBC. Natasha holds a First Class degree in English from Cambridge University, and an MA in journalism from Goldsmiths College, University of London.', 'url': 'https://techcrunch.com/author/natasha-lomas/'}]"
https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmRhdGFzY2llbmNlY2VudHJhbC5jb20vYWktYW5kLWl0cy1pbXBhY3Qtb24tZGl2ZXJzaXR5LWFuZC1pbmNsdXNpb24v0gEA?oc=5,AI And Its Impact On Diversity And Inclusion - Data Science Central,2022-04-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,https://schema.org,,,,,,,,,,,,,,,,"[{'@type': 'Article', '@id': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/#article', 'isPartOf': {'@id': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/'}, 'author': {'name': 'Aileen Scott', '@id': 'https://www.datasciencecentral.com/#/schema/person/bc3180bc99125d44f41adc8d1534e2f8'}, 'headline': 'AI And Its Impact On Diversity And Inclusion', 'datePublished': '2022-04-05T17:04:16+00:00', 'dateModified': '2024-06-22T11:05:49+00:00', 'mainEntityOfPage': {'@id': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/'}, 'wordCount': 745, 'publisher': {'@id': 'https://www.datasciencecentral.com/#organization'}, 'image': {'@id': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/#primaryimage'}, 'thumbnailUrl': 'https://www.datasciencecentral.com/wp-content/uploads/2022/04/AdobeStock_469423570.jpg', 'keywords': ['AI', 'AI technology', 'artificial intelligence engineer'], 'articleSection': ['AI Visualization'], 'inLanguage': 'en-US'}, {'@type': 'WebPage', '@id': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/', 'url': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/', 'name': 'AI And Its Impact On Diversity And Inclusion', 'isPartOf': {'@id': 'https://www.datasciencecentral.com/#website'}, 'primaryImageOfPage': {'@id': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/#primaryimage'}, 'image': {'@id': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/#primaryimage'}, 'thumbnailUrl': 'https://www.datasciencecentral.com/wp-content/uploads/2022/04/AdobeStock_469423570.jpg', 'datePublished': '2022-04-05T17:04:16+00:00', 'dateModified': '2024-06-22T11:05:49+00:00', 'description': 'AI helps to tackle diversity problems by affecting the way companies think about the data and culture they adopt to evaluate their employees', 'breadcrumb': {'@id': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/#breadcrumb'}, 'inLanguage': 'en-US', 'potentialAction': [{'@type': 'ReadAction', 'target': ['https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/']}]}, {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/#primaryimage', 'url': 'https://www.datasciencecentral.com/wp-content/uploads/2022/04/AdobeStock_469423570.jpg', 'contentUrl': 'https://www.datasciencecentral.com/wp-content/uploads/2022/04/AdobeStock_469423570.jpg', 'width': 900, 'height': 506}, {'@type': 'BreadcrumbList', '@id': 'https://www.datasciencecentral.com/ai-and-its-impact-on-diversity-and-inclusion/#breadcrumb', 'itemListElement': [{'@type': 'ListItem', 'position': 1, 'name': 'Home', 'item': 'https://www.datasciencecentral.com/'}, {'@type': 'ListItem', 'position': 2, 'name': 'Technical Topics', 'item': 'https://www.datasciencecentral.com/category/technical-topics/'}, {'@type': 'ListItem', 'position': 3, 'name': 'AI Visualization'}]}, {'@type': 'WebSite', '@id': 'https://www.datasciencecentral.com/#website', 'url': 'https://www.datasciencecentral.com/', 'name': 'Data Science Central', 'description': 'A COMMUNITY FOR AI PRACTITIONERS', 'publisher': {'@id': 'https://www.datasciencecentral.com/#organization'}, 'potentialAction': [{'@type': 'SearchAction', 'target': {'@type': 'EntryPoint', 'urlTemplate': 'https://www.datasciencecentral.com/?s={search_term_string}'}, 'query-input': 'required name=search_term_string'}], 'inLanguage': 'en-US'}, {'@type': 'Organization', '@id': 'https://www.datasciencecentral.com/#organization', 'name': 'TechTarget', 'url': 'https://www.datasciencecentral.com/', 'logo': {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://www.datasciencecentral.com/#/schema/logo/image/', 'url': 'https://www.datasciencecentral.com/wp-content/uploads/2021/10/cropped-cropped-TT-Data-Science-Center-logo-2.png', 'contentUrl': 'https://www.datasciencecentral.com/wp-content/uploads/2021/10/cropped-cropped-TT-Data-Science-Center-logo-2.png', 'width': 500, 'height': 64, 'caption': 'TechTarget'}, 'image': {'@id': 'https://www.datasciencecentral.com/#/schema/logo/image/'}}, {'@type': 'Person', '@id': 'https://www.datasciencecentral.com/#/schema/person/bc3180bc99125d44f41adc8d1534e2f8', 'name': 'Aileen Scott', 'image': {'@type': 'ImageObject', 'inLanguage': 'en-US', '@id': 'https://www.datasciencecentral.com/#/schema/person/image/', 'url': 'https://secure.gravatar.com/avatar/30f21665196015869d2746e33bb52f65?s=96&d=mm&r=g', 'contentUrl': 'https://secure.gravatar.com/avatar/30f21665196015869d2746e33bb52f65?s=96&d=mm&r=g', 'caption': 'Aileen Scott'}, 'url': 'https://www.datasciencecentral.com/author/aileenscott/'}]"
https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmRpY2UuY29tL2NhcmVlci1hZHZpY2UvdG9wLTEwLXN0YXRlcy13aXRoLXRoZS1oaWdoZXN0LWNvbmNlbnRyYXRpb25zLW9mLXRlY2hub2xvZ2lzdHPSAQA?oc=5,Top 10 States with the Highest Concentrations of Technologists - Dice Insights,2022-04-01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'@type': 'WebPage', '@id': 'https://www.dice.com/career-advice/top-10-states-with-the-highest-concentrations-of-technologists'}",2022-04-01T11:05:00Z,,"{'@type': 'Person', 'name': 'Nick Kolakowski', 'url': 'https://www.dice.com/about/authors/nick-kolakowski'}","{'@type': 'Organization', 'name': 'Dice', 'url': 'https://www.dice.com', 'logo': 'https://www.dice.com/binaries/content/gallery/dice/icons/dice-logo.svg', 'sameAs': ['https://www.linkedin.com/company/dice', 'https://www.facebook.com/dice', 'https://twitter.com/Dicedotcom', 'https://www.instagram.com/dicedotcom', 'https://www.youtube.com/Dice', 'https://www.facebook.com/DiceforEmployers', 'https://twitter.com/Dice4Employers']}","{'@type': 'ImageObject', 'url': 'https://www.dice.com/binaries/large/content/gallery/dice/insights/2021/06/shutterstock_527729869.jpg', 'width': 1200, 'height': 800}",Top 10 States with the Highest Concentrations of Technologists,Article,,,https://schema.org/,,,,,,,,,,,,,,,,
