URL link,Title,Date,title,description,keywords,og:title,og:description,og:type,og:url,og:site_name,og:locale,twitter:card,twitter:site,twitter:title,twitter:description,article:type,article:section,article:summary,datePublished,image,copyrightHolder,@type,author,copyrightYear,publisher,@id,@context,headline,url,name,mainEntityOfPage,thumbnailUrl,dateModified,articleBody,logo,sameAs,speakable,genre,wordcount,dateCreated,identifier,creator,isAccessibleForFree,hasPart,articleSection,itemListElement,masthead,ethicsPolicy,publishingPrinciples,inLanguage,sourceOrganization,heading,editor,alternativeHeadline,@graph,isPartOf
https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMjAvamFuLzE4L2F1dG9tYXRpb24tam9icy11bml2ZXJzYWwtYmFzaWMtaW5jb21lLWRhbmllbC1zdXNza2luZC1pbnRlcnZpZXfSAXNodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vdGVjaG5vbG9neS8yMDIwL2phbi8xOC9hdXRvbWF0aW9uLWpvYnMtdW5pdmVyc2FsLWJhc2ljLWluY29tZS1kYW5pZWwtc3Vzc2tpbmQtaW50ZXJ2aWV3?oc=5,Daniel Susskind: ‘Automation of jobs is one of the greatest questions of our time’ - The Guardian,2020-01-18,N/A,Oxford economist Daniel Susskind talks about the challenges of a society in which all jobs have been automated,N/A,Daniel Susskind: ‘Automation of jobs is one of the greatest questions of our time’,Oxford economist Daniel Susskind talks about the challenges of a society in which all jobs have been automated,article,http://www.theguardian.com/technology/2020/jan/18/automation-jobs-universal-basic-income-daniel-susskind-interview,the Guardian,N/A,summary_large_image,@guardian,N/A,N/A,N/A,Technology,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vbmV3c3Jvb20uY2lzY28uY29tL2Mvci9uZXdzcm9vbS9lbi91cy9hL3kyMDIwL20wMS9pbmNsdXNpb24tYW5kLWRpdmVyc2l0eS1pbi1hbi1haS13b3JsZC5odG1s0gEA?oc=5,Inclusion and Diversity in an AI World - Cisco Newsroom,2020-01-22,N/A,Artificial intelligence can improve countless lives. But only if we get it right. ...,Analytics Automation,Inclusion and Diversity in an AI World,Artificial intelligence can improve countless lives. But only if we get it right.,Article,https://newsroom.cisco.com/c/r/newsroom/en/us/a/y2020/m01/inclusion-and-diversity-in-an-ai-world.html,N/A,N/A,@cisco,@cisco,Inclusion and Diversity in an AI World,Artificial intelligence can improve countless lives. But only if we get it right.,N/A,N/A,N/A,2020-01-22T12:00:00Z,https://newsroom.cisco.com/c/dam/r/newsroom/en/us/migrated-assets/ai-diversity-inclusion-feature_800x450_thumb_012220-jpg-2046758-1-0.jpg,Cisco,WebPage,"[{'@type': 'Person', 'name': 'Kevin Delaney', 'url': 'https://newsroom.cisco.com/c/r/newsroom/en/us/authors/kevin-delaney.html'}]",2020.0,"{'@type': 'WebSite', 'name': 'Cisco Newsroom', 'url': 'https://newsroom.cisco.com/'}",https://newsroom.cisco.com/c/r/newsroom/en/us/a/y2020/m01/inclusion-and-diversity-in-an-ai-world.html,http://schema.org,Inclusion and Diversity in an AI World,https://newsroom.cisco.com/c/r/newsroom/en/us/a/y2020/m01/inclusion-and-diversity-in-an-ai-world.html,Inclusion and Diversity in an AI World,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vZm9ydHVuZS5jb20vbG9uZ2Zvcm0vaHItdGVjaG5vbG9neS1haS1oaXJpbmctcmVjcnVpdG1lbnQv0gEA?oc=5,How A.I. is changing hiring and transforming HR - Fortune,2020-01-20,N/A,Some of the world’s biggest companies are relying on A.I. to build a better workforce. But be warned: The tech can create new problems even as it solves old ones.,"ai, artificial intelligence, ai in hr, hr technology, hr artificial intelligence, hr robots, ai talent recruitment, how to get hired by ai, artificial intelligence in hr, hr technology, ai in hr analytics, importance of ai in hr, ai in hr examples, human resources, artificual intelligence in human resources, ai hiring, hiring with ai, how to get through ai to get hired, companies using ai in hr, ai hiring bias, ai in recruitment, ai hiring and ethics, ai ethics, ai bias, companies using ai for recruitment, benefits of ai in recruitment, is ai good or bad, is ai good for hiring",A.I. is transforming the job interview—and everything after,Some of the world’s biggest companies are relying on A.I. to build a better workforce. But be warned: The tech can create new problems even as it solves old ones.,article,https://fortune.com/longform/hr-technology-ai-hiring-recruitment/,Fortune,N/A,summary_large_image,N/A,A.I. is transforming the job interview—and everything after,Some of the world’s biggest companies are relying on A.I. to build a better workforce. But be warned: The tech can create new problems even as it solves old ones.,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMikwFodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuaW4vY2FyZWVycy9uZXdzL3RoZS1ib3NzLW1hY2hpbmUtaXMtaGVyZS1haS1pcy1hbGwtc2V0LXRvLWVsaW1pbmF0ZS1taWRkbGUtbWFuYWdlcnMtaW4tOC15ZWFycy9hcnRpY2xlc2hvdy83MzQ3NDcyOS5jbXPSAZcBaHR0cHM6Ly93d3cuYnVzaW5lc3NpbnNpZGVyLmluL2NhcmVlcnMvbmV3cy90aGUtYm9zcy1tYWNoaW5lLWlzLWhlcmUtYWktaXMtYWxsLXNldC10by1lbGltaW5hdGUtbWlkZGxlLW1hbmFnZXJzLWluLTgteWVhcnMvYW1wX2FydGljbGVzaG93LzczNDc0NzI5LmNtcw?oc=5,The boss machine is here — AI is all set to eliminate middle managment in 8 years - Business Insider India,2020-01-21,N/A,The massive pace at which companies are adopting automation and artificial intelligence may lead to elimination of middle management roles over the next decade. Smart machines will soon become co-workers — changing the modus operandi of how employees work.,Artificial Intelligence Jobs smart device Gartner machine learning artificial intelligence,The boss machine is here — AI is all set to eliminate middle managment in 8 years | Business Insider India,The massive pace at which companies are adopting automation and artificial intelligence may lead to elimination of middle management roles over the next decade. Smart machines will soon become co-workers — changing the modus operandi of how employees work.,article,https://www.businessinsider.in/careers/news/the-boss-machine-is-here-ai-is-all-set-to-eliminate-middle-managers-in-8-years/articleshow/73474729.cms,Business Insider,N/A,N/A,N/A,The boss machine is here — AI is all set to eliminate middle managment in 8 years | Business Insider India,The massive pace at which companies are adopting automation and artificial intelligence may lead to elimination of middle management roles over the next decade. Smart machines will soon become co-workers — changing the modus operandi of how employees work.,N/A,N/A,N/A,2020-01-21T17:06:24+05:30,"{'@type': 'ImageObject', 'url': 'https://www.businessinsider.in/thumb.cms?msid=73474729&width=1200&height=900', 'width': '1200', 'height': '900'}",,WebPage,"{'@type': 'Person', 'name': 'Prerna Sindwani'}",,"{'@type': 'Organization', 'name': 'Business Insider India', 'logo': {'@type': 'ImageObject', 'width': '600', 'height': '60', 'url': 'https://www.businessinsider.in/photo/69280259/bi_logo.jpg'}}",,http://schema.org,The boss machine is here — AI is all set to eliminate middle managment in 8 years | Business Insider India,https://www.businessinsider.in/careers/news/the-boss-machine-is-here-ai-is-all-set-to-eliminate-middle-managers-in-8-years/articleshow/73474729.cms,The boss machine is here — AI is all set to eliminate middle managment in 8 years,https://www.businessinsider.in/careers/news/the-boss-machine-is-here-ai-is-all-set-to-eliminate-middle-managers-in-8-years/articleshow/73474729.cms,https://www.businessinsider.in/thumb.cms?msid=73474729&width=1200&height=900,2020-01-21T17:20:10+05:30,"The massive pace at which companies are adopting automation and artificial intelligence may lead to elimination of middle management roles over the next decade.Smart machines will soon become co-workers — changing the modus operandi of how employees work.According to Gartner, “People managers will focus on people-related activities that require intuition, empathy and interpersonal skills.”A recent McKinsey report also said that nearly half of the activities undertaken by the workers could be automated — including managing expertise.A lot of offices have already replaced secretaries with virtual assistants. But in the future, employees may have to report to a virtual boss too. A report by Infosys and Gartner predicts that automation and AI might lead to elimination of middle management roles over the next decade.“We will need fewer people managers as many of the management tasks such as collecting data, supervising actions and ensuring compliances will be completed by algorithm and robosses,” said a thought leadership report by Gartner.This echoes a recent McKinsey report which said that nearly half of the activities undertaken by the workers could be automated — including managing expertise.Algorithmic management will take overMiddle management roles which transition between actual teams and top management which creates strategies - is in charge of execution. AI-enabled systems which have the potential to grasp knowledge and adapt to it as they make decisions- can ensure execution in the future. For example, if an AI is managing a sales team, it can distribute work, assign and ensure targets are met. All these tasks can be taken over by an intuitive AI. And since an AI manager can perform multiple tasks without fatigue that humans suffer, they will be able to bring in more efficiencies.According to the Gartner report, these smart machines will soon become co-workers — changing the modus operandi of how employees work. In fact, technology will replace the human resource functionalities — acting as employees hired by the IT. This will do away with the need of middle managers and accelerate ‘we working’ in autonomous teams across diversified roles. “People managers will focus on people-related activities that require intuition, empathy and interpersonal skills,” the report said. Inter-office communication In a situation when human employees have to report to ‘boss machines’, they have to improve their digital skills not just to perform tasks but to communicate. The report calls human and technology productivity a killer combo - where technology will not take away the jobs — but will become a co-worker. “From recruiting to performance reviews, departments of ‘robot resources’ will rival human resources” by 2028.AI itself can replace nearly 400 million workers globally over the next decade. It means organizations would need workers that can work with AI. According to a report by Great Learning, the number of AI jobs has outpaced the talent in the job market. As many as 2,500 AI job roles remain vacant even as companies adopt the technology.See also:Here's how artificial intelligence changed the way we eat, write, drive and talkHere's why digital marketing is as lucrative a career as data science and machine learningThese are the top 15 emerging jobs in India, according to LinkedIn","{'@type': 'ImageObject', 'width': '600', 'height': '60', 'url': 'https://staticbiassets.in/thumb/msid-60085318,width-1000,height-750/default-thumb.jpg'}","['https://www.facebook.com/BusinessInsiderIndia', 'https://twitter.com/BiIndia']","{'@type': 'SpeakableSpecification', 'cssSelector': ['.bg-white']}",,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LmtkbnVnZ2V0cy5jb20vMjAyMC8wMS90b3AtNS1haS10cmVuZHMtMjAyMC5odG1s0gEA?oc=5,Top 5 AI trends for 2020 - KDnuggets,2020-01-21,N/A,"We are all witnessing a staggering growth of AI technology with so many new benefits for people while also changing the way we live and work. As AI continues to grow, which applications will have a significant impact in 2020?",N/A,Top 5 AI trends for 2020 - KDnuggets,"We are all witnessing a staggering growth of AI technology with so many new benefits for people while also changing the way we live and work. As AI continues to grow, which applications will have a significant impact in 2020?",article,https://www.kdnuggets.com/top-5-ai-trends-for-2020,KDnuggets,en_US,summary,@kdnuggets,Top 5 AI trends for 2020 - KDnuggets,"We are all witnessing a staggering growth of AI technology with so many new benefits for people while also changing the way we live and work. As AI continues to grow, which applications will have a significant impact in 2020?",N/A,2020 Jan Opinions,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZW1lcmouY29tL2FpLWV4ZWN1dGl2ZS1ndWlkZXMvcmV0cmFpbmluZy1hbmQtcmVza2lsbGluZy1mb3ItYWkv0gEA?oc=5,Retraining and Reskilling for AI - The State of the Enterprise Today - Emerj,2020-01-22,N/A,Learn how business leaders can think about the potential for layoffs due to AI automation and what to do about retraining and reskilling existing employees.,,Retraining and Reskilling for AI - The State of the Enterprise Today,Learn how business leaders can think about the potential for layoffs due to AI automation and what to do about retraining and reskilling existing employees.,article,https://emerj.com/ai-executive-guides/retraining-and-reskilling-for-ai/,Emerj Artificial Intelligence Research,en_US,summary_large_image,@emerj,N/A,N/A,N/A,N/A,N/A,2020-01-20,https://emerj.com/wp-content/uploads/2020/01/Retraining-and-Reskilling-for-AI-950x540-1-690x392.jpg,,Article,Daniel Faggella,,"{'@type': 'Organization', 'name': 'Emerj', 'url': 'https://emerj.com', 'logo': {'@type': 'ImageObject', 'url': 'https://emerj.com/wp-content/themes/emerj/src/logo/emerj-logo-w-500-min.png'}}",,https://schema.org,Retraining and Reskilling for AI &#8211; The State of AI Job Loss Today,,,https://emerj.com/ai-executive-guides/retraining-and-reskilling-for-ai,,2020-01-22,,,,,Best-Practice Guides,2013,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5mb3JiZXNpbmRpYS5jb20vYXJ0aWNsZS9taWNyb3NvZnQtYWktZm9yLWFsbC90aW1lLWZvci1pbmRpYS10by10YXAtdGhlLWZ1bGwtcG90ZW50aWFsLW9mLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLzU3MjgzLzHSAQA?oc=5,Time for India to tap the full potential of Artificial Intelligence - Forbes India,2020-01-22,N/A,,N/A,Time for India to tap the full potential of Artificial Intelligence,,website,https://www.forbesindia.com/article/microsoft-ai-for-all/time-for-india-to-tap-the-full-potential-of-artificial-intelligence/57283/1,https://www.forbesindia.com/article/microsoft-ai-for-all/time-for-india-to-tap-the-full-potential-of-artificial-intelligence/57283/1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vdG93YXJkc2RhdGFzY2llbmNlLmNvbS9pcy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1kZWFkLWNlYjM4MzAwMzNhMdIBAA?oc=5,Is Artificial Intelligence Dead?. Let’s talk stats about AI state. | by Hajar Khizou - Towards Data Science,2020-01-18,Is Artificial Intelligence Dead?. Let’s talk stats about AI state. | by Hajar Khizou | Towards Data Science,The explosion of interest in Artificial intelligence impact and trends has led to the rise of many questions and commentaries over the last decades. One of the most popular points of view is that…,N/A,Is Artificial Intelligence Dead?,Let’s talk stats about AI state.,article,https://towardsdatascience.com/is-artificial-intelligence-dead-ceb3830033a1,Medium,N/A,summary_large_image,@TDataScience,Is Artificial Intelligence Dead?,Let’s talk stats about AI state.,N/A,N/A,N/A,2020-01-19T05:34:05.226Z,['https://miro.medium.com/v2/da:true/resize:fit:1200/0*_m0S9Ri8RlekSY5o'],,NewsArticle,"{'@type': 'Person', 'name': 'Hajar Khizou', 'url': 'https://towardsdatascience.com/@hajarkhizou'}",,"{'@type': 'Organization', 'name': 'Towards Data Science', 'url': 'towardsdatascience.com', 'logo': {'@type': 'ImageObject', 'width': 192, 'height': 60, 'url': 'https://miro.medium.com/v2/resize:fit:384/1*cFFKn8rFH4ZndmaYeAs6iQ.png'}}",,http://schema.org,Is Artificial Intelligence Dead? - Towards Data Science,https://towardsdatascience.com/is-artificial-intelligence-dead-ceb3830033a1,Is Artificial Intelligence Dead? - Towards Data Science,https://towardsdatascience.com/is-artificial-intelligence-dead-ceb3830033a1,,2021-12-13T07:24:30.950Z,,,,,,,2020-01-19T05:34:05.226Z,ceb3830033a1,['Hajar Khizou'],False,"{'@type': 'WebPageElement', 'isAccessibleForFree': 'False', 'cssSelector': '.meteredContent'}",,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vdGltZS5jb20vNTc2OTAwNS9haS13aGl0ZS1jb2xsYXItd29yay_SAQA?oc=5,AI Is About to Spark a Radical Shift in White Collar Work - TIME,2020-01-23,N/A,"But ""there's still plenty of work for people to do,"" experts say.",N/A,AI Is About to Spark a Radical Shift in White Collar Work,But 'there's still plenty of work for people to do',article,https://time.com/5769005/ai-white-collar-work/,TIME,N/A,summary_large_image,@TIME,AI Is About to Spark a Radical Shift in White Collar Work,But 'there's still plenty of work for people to do',N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMieGh0dHBzOi8vbmV3cy5jZ3RuLmNvbS9uZXdzLzIwMjAtMDEtMjMvTWVldC15b3VuZy13b3JrZXJzLXBvd2VyaW5nLUNoaW5hLXMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtLU5zcERDRThhcGEvaW5kZXguaHRtbNIBfGh0dHBzOi8vbmV3cy5jZ3RuLmNvbS9uZXdzLzIwMjAtMDEtMjMvTWVldC15b3VuZy13b3JrZXJzLXBvd2VyaW5nLUNoaW5hLXMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtLU5zcERDRThhcGEvc2hhcmVfYW1wLmh0bWw?oc=5,Meet young workers powering China's artificial intelligence - CGTN,2020-01-23,N/A,,,Meet young workers powering China's artificial intelligence ,"24-year-old Liu Xueyan has never seen a self-driving car, but her work has helped to develop AI algorithm that could power autonomous driving.",article,N/A,N/A,N/A,summary_large_image,@CGTNOfficial,Meet young workers powering China's artificial intelligence ,"24-year-old Liu Xueyan has never seen a self-driving car, but her work has helped to develop AI algorithm that could power autonomous driving.",N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
