,URL link,Title,Date,Preprocessed Title,Value,Sentiment
0,https://news.google.com/rss/articles/CBMiiAFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vam9icy9vdmVyLWZpZnR5LWZha2UtY2FsbC1jZW50cmVzLWluLWRlbGhpLW5jci1kdXBpbmctam9iLXNlZWtlcnMtc2F5cy1kZWxoaS1wb2xpY2UvYXJ0aWNsZXNob3cvNDY4MTMxODAuY21z0gEA?oc=5,"Over fifty fake call centres in Delhi-NCR duping job seekers, says Delhi Police - The Economic Times",2015-04-05,fifty fake call centre delhi,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",Negative
1,https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vZm9ydHVuZS5jb20vMjAxNS8wNC8yMi9yb2JvdHMtd2hpdGUtY29sbGFyLWFpL9IBAA?oc=5,"'Highly creative' professionals won't lose their jobs to robots, study finds - Fortune",2015-04-22,"'highly creative ' professional wo n't lose job robot , study find","{'neg': 0.0, 'neu': 0.595, 'pos': 0.405, 'compound': 0.6653}",Positive
2,https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LnViZXIuY29tL2VuLVBML2Jsb2cvd2luZG93cy1waG9uZS1kZWVwLWxpbmtpbmcv0gEA?oc=5,Go Deep on Windows Phone - Uber,2015-04-16,go deep window phone,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
3,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vdGhlY29udmVyc2F0aW9uLmNvbS9jb3VsZC1hLXJvYm90LWRvLXlvdXItam9iLXNob3J0LWFuc3dlci15ZXMtMzk1NjnSAQA?oc=5,Could a robot do your job? Short answer: yes - The Conversation,2015-04-19,could robot job ? short answer : yes,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}",Positive
4,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmNvbXB1dGVyd29ybGQuY29tL2FydGljbGUvMTY0Nzg3MC93aGF0LWlzLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLmh0bWzSAVdodHRwczovL3d3dy5jb21wdXRlcndvcmxkLmNvbS9hcnRpY2xlLzE2NDc4NzAvd2hhdC1pcy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS5odG1sL2FtcC8?oc=5,What is artificial intelligence? - Computerworld,2015-04-10,artificial intelligence ?,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4767}",Positive
5,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LnB3Yy5jb20vZ3gvZW4vaXNzdWVzL3RydXN0L3Rlbi1kaWdpdGFsLXRydXN0LWNoYWxsZW5nZXMuaHRtbNIBAA?oc=5,Trust: Ten digital trust challenges - PwC,2015-04-12,trust : ten digital trust challenge,"{'neg': 0.0, 'neu': 0.202, 'pos': 0.798, 'compound': 0.7845}",Positive
6,https://news.google.com/rss/articles/CBMiKGh0dHBzOi8vd3d3LndpcmVkLmNvbS8yMDE1LzA0L2plZmYtZGVhbi_SAQA?oc=5,"Finally, Neural Networks That Actually Work - WIRED",2015-04-21,"finally , neural network actually work","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
7,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTUvMDQvMjYvbW92aWVzL2FsZXgtZ2FybGFuZC1vZi1leC1tYWNoaW5hLXRhbGtzLWFib3V0LWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLmh0bWzSAQA?oc=5,Alex Garland of 'Ex Machina' Talks About Artificial Intelligence (Published 2015) - The New York Times,2015-04-22,alex garland 'ex machina ' talk artificial intelligence ( published 2015 ),"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.4767}",Positive
8,https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMTUvMDQvMTAvcm9ib3RzLXRoZS1uZXctbG93LWNvc3Qtd29ya2VyLmh0bWzSAQA?oc=5,Robots: The new low-cost worker - CNBC,2015-04-14,robot : new low,"{'neg': 0.512, 'neu': 0.488, 'pos': 0.0, 'compound': -0.2732}",Negative
9,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3Lndzai5jb20vdmlkZW8vYWdyb2JvdC1hdXRvbWF0ZXMtdGhlLXdvcmstb2YtYmVycnktaGFydmVzdGluZy9EMDdBOTFFOC1DNDUzLTQ2NTItOEVDRS0yMjI5RkI4NjJGNkXSAQA?oc=5,Agrobot Automates the Work of Berry Harvesting - The Wall Street Journal,2015-04-23,agrobot automates work berry harvesting,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
