,URL link,Title,Date,Preprocessed Title,Value,Sentiment
0,https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LndpcmVkLmNvbS8yMDAzLzA1L2FpLWZvdW5kZXItYmxhc3RzLW1vZGVybi1yZXNlYXJjaC_SAQA?oc=5,AI Founder Blasts Modern Research - WIRED,2003-05-13,ai founder blast modern research,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
1,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LnRoZWZhYnJpY2F0b3IuY29tL3RoZWZhYnJpY2F0b3IvYXJ0aWNsZS9zaG9wbWFuYWdlbWVudC9qb2Itc2F0aXNmYWN0aW9uLXBhcnQtMdIBAA?oc=5,Job Satisfaction—Part 1 - TheFabricator.com,2003-01-16,job satisfaction—part 1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
2,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vbmV3cy5taWNyb3NvZnQuY29tLzIwMDMvMDgvMTkvcWEtbWljcm9zb2Z0LWxlYXJuaW5nLXNlZWtzLXRvLWJlLXRlY2hub2xvZ3ktdXNlcnMtY2FyZWVyLWNvbXBhbmlvbi1mb3ItbGlmZS_SAQA?oc=5,"Q&A: Microsoft Learning Seeks to Be Technology Users' ""Career Companion for Life"" - Stories - Microsoft",2003-08-19,q & : microsoft learning seek technology user ' `` career companion life '',"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
3,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vdml0ZXJiaXNjaG9vbC51c2MuZWR1L25ld3MvMjAwMy8wNy9haS1leHBlcnQtamVmZi1yaWNrZWwtMTk2My0yMDAzL9IBAA?oc=5,AI Expert Jeff Rickel: 1963-2003 - USC Viterbi | School of Engineering - USC Viterbi School of Engineering,2003-07-08,ai expert jeff rickel : 1963,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
4,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LnRoZWJhbmtlci5jb20vRGl2ZXJzZS1kaXN0cmlidXRpb24tYnJpbmdzLUlDSUNJLXN1Y2Nlc3MtMTA1OTk1MTYwMNIBAA?oc=5,Diverse distribution brings ICICI success - The Banker,2003-08-03,diverse distribution brings icici success,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",Positive
5,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LnRoZWNyaW1zb24uY29tL2FydGljbGUvMjAwMy8xMC8yMy9ub3Qtc28tYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtZm9yLWhpcy1oaWdoLXNjaG9vbC_SAQA?oc=5,Not-so-artificial Intelligence | Magazine - Harvard Crimson,2003-10-23,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Neutral
6,https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vd3d3Lml0cHJvdG9kYXkuY29tL21pY3Jvc29mdC0zNjUvaXMtbmV0LWRlYWQt0gEA?oc=5,Is .NET Dead? - ITPro Today,2003-10-27,.net dead ?,"{'neg': 0.811, 'neu': 0.189, 'pos': 0.0, 'compound': -0.6486}",Negative
7,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vbmV3cy5taWNyb3NvZnQuY29tLzIwMDMvMDkvMzAvd2luZG93cy14cC1tZWRpYS1jZW50ZXItZWRpdGlvbi0yMDA0LWRlbGl2ZXJzLW5ldy1ob21lLWVudGVydGFpbm1lbnQtZXhwZXJpZW5jZXMv0gEA?oc=5,Windows XP Media Center Edition 2004 Delivers New Home Entertainment Experiences - Stories - Microsoft,2003-09-30,window xp medium center edition 2004 delivers new home entertainment experience,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6597}",Positive
8,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3Lml0cHJvdG9kYXkuY29tL21pY3Jvc29mdC13aW5kb3dzL2xpdmUtZnJvbS1wZGMtMjAwMy1kYXktMS1tb25kYXnSAQA?oc=5,"Live from PDC 2003: Day 1, Monday - ITPro Today",2003-10-26,"live pdc 2003 : day 1 , monday","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
9,https://news.google.com/rss/articles/CBMijwFodHRwczovL25ld3MubWljcm9zb2Z0LmNvbS8yMDAzLzA5LzE1L25ldy1tb3Rvcm9sYS1tcHgyMDAtd2l0aC1taWNyb3NvZnQtd2luZG93cy1tb2JpbGUtZXh0ZW5kcy10aGUtcG93ZXItb2YtdGhlLWRlc2t0b3AtdG8tdGhlLXdpcmVsZXNzLXdvcmxkL9IBAA?oc=5,New Motorola MPx200 With Microsoft Windows Mobile Extends the Power of the Desktop to the Wireless World - Stories - Microsoft,2003-09-15,new motorola mpx200 microsoft window mobile extends power desktop wireless world,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.128}",Positive
