URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,article:section,article:summary,article text,@id,@context,@type,publisher,headline,image,datePublished,dateModified,author,isAccessibleForFree,hasPart,mainEntityOfPage,itemListElement,url,logo,@graph,audio,isPartOf,breadcrumb,potentialAction
https://news.google.com/rss/articles/CBMif2h0dHBzOi8vd3d3LmZyYW5jZXRyYXZhaWwub3JnL2FjY3VlaWwvY29tbXVuaXF1ZXMvbGFuY2VtZW50LWR1LWNvbWl0ZS1kZXRoaXF1ZS1zdXItbGludGVsbGlnZW5jZS1hcnRpZmljaWVsbGUuaHRtbD90eXBlPWFydGljbGXSAQA?oc=5,Lancement du comité d'éthique sur l'intelligence artificielle - France Travail - France Travail.org,2021-02-16,France Travail.org,https://www.francetravail.org,"Pôle emploi s’est engagé dans l’exploitation des potentialités de l’intelligence artificielle afin d’améliorer l’efficacité de ses services et favoriser la personnalisation de l’accompagnement des demandeurs d’emploi et des entreprises. Le développement des usages de l’intelligence artificielle est indissociable de la maîtrise des dimensions éthiques. Pour s’inscrire dans un cadre de référence indépendant, Jean Bassères, directeur général de Pôle emploi, a lancé lundi 15 février un comité d’éthique externe indépendant.",N/A,"Pôle emploi s’est engagé dans l’exploitation des potentialités de l’intelligence artificielle afin d’améliorer l’efficacité de ses services et favoriser la personnalisation de l’accompagnement des demandeurs d’emploi et des entreprises. Le développement des usages de l’intelligence artificielle est indissociable de la maîtrise des dimensions éthiques. Pour s’inscrire dans un cadre de référence indépendant, Jean Bassères, directeur général de Pôle emploi, a lancé lundi 15 février un comité d’éthique externe indépendant.","Pôle emploi s’est engagé dans l’exploitation des potentialités de l’intelligence artificielle afin d’améliorer l’efficacité de ses services et favoriser la personnalisation de l’accompagnement des demandeurs d’emploi et des entreprises. Le développement des usages de l’intelligence artificielle est indissociable de la maîtrise des dimensions éthiques. Pour s’inscrire dans un cadre de référence indépendant, Jean Bassères, directeur général de Pôle emploi, a lancé lundi 15 février un comité d’éthique externe indépendant.",N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmFlZmluZm8uZnIvZGVwZWNoZS82NDY3MzEtcG9sZS1lbXBsb2ktc2UtZG90ZS1kLXVuLWNvbWl0ZS1kLWV0aGlxdWUtc3VyLWwtaW50ZWxsaWdlbmNlLWFydGlmaWNpZWxsZdIBAA?oc=5,Pôle emploi se dote d'un comité d'éthique sur l'intelligence artificielle - AEF info,2021-02-17,AEF info,https://www.aefinfo.fr,"Très engagé depuis des années dans les réflexions sur l’utilisation de l’Intelligence artificielle dans son activité, Pôle emploi se dote d’un nouveau comité d’étique sur l’IA. Placé auprès de la direction de l’opérateur public, ce comité d’éthique pourra émettre des avis et des recommandations sur les orientations prises dans le respect des valeurs de Pôle emploi et de sa mission de service public.",N/A,"Très engagé depuis des années dans les réflexions sur l’utilisation de l’Intelligence artificielle dans son activité, Pôle emploi se dote d’un nouveau...","Très engagé depuis des années dans les réflexions sur l’utilisation de l’Intelligence artificielle dans son activité, Pôle emploi se dote d’un nouveau...",N/A,N/A,N/A,https://www.aefinfo.fr/depeche/646731-pole-emploi-se-dote-d-un-comite-d-ethique-sur-l-intelligence-artificielle,https://schema.org,NewsArticle,"{'@type': 'Organization', '@context': 'https://schema.org', 'url': 'https://www.aefinfo.fr/', 'name': 'AEF info', 'logo': {'@type': 'ImageObject', 'url': 'https://www.aefinfo.fr/assets/newsletter/publiatis/logo-aef-60x60.jpg'}}",Pôle emploi se dote d’un comité d’éthique sur l’intelligence artificielle,https://www.aefinfo.fr/assets/medias/documents/4/9/490386_prv.jpeg,2021-02-17T14:30:00+02:00,2021-02-17T14:30:00+02:00,"{'@type': 'Person', 'name': 'Jérôme Lepeytre'}",False,"{'@type': 'WebPageElement', 'isAccessibleForFree': 'False', 'cssSelector': '.paywall'}","{'@type': 'WebPage', '@id': 'https://www.aefinfo.fr/depeche/646731-pole-emploi-se-dote-d-un-comite-d-ethique-sur-l-intelligence-artificielle'}",,,,,,,,
https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNucnMuZnIvZnIvYWN0dWFsaXRlL2xlLWNucnMtb3V2cmUtdW4tbGFib3JhdG9pcmUtZW4tYXVzdHJhbGllLXNwZWNpYWxpc2UtZW4taWHSAQA?oc=5,Le CNRS ouvre un laboratoire en Australie spécialisé en IA - Centre national de la recherche scientifique (CNRS),2021-02-19,Centre national de la recherche scientifique (CNRS),https://www.cnrs.fr,"Le CNRS, en association avec trois universités australiennes, IMT Atlantique et l’industriel Naval Group, lance un nouveau labo",Institutionnel,"Le CNRS, en association avec trois universités australiennes, IMT Atlantique et l’industriel Naval Group, lance un nouveau labo","Le CNRS, en association avec trois universités australiennes, IMT Atlantique et l’industriel Naval Group, lance un nouveau labo",N/A,N/A,"






13.06.2024

Institutionnel
Échappez-vous avec le CNRS !



",,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3LnNlaW5lb3Vlc3QuZnIvbmV3c2JyaWRnZS1sYXVyZWF0LTIwMjAtbWFkZS1pbi05MtIBAA?oc=5,"Made in 92 : Newsbridge, une start-up boulonnaise primée - Grand Paris Seine Ouest",2021-02-17,Grand Paris Seine Ouest,https://www.seineouest.fr,N/A,N/A,N/A,N/A,N/A,N/A,"




Made in 92 : Newsbridge, une startup boulonnaise primée en 2020

Créé le 17/02/2021 - Mis à jour le 18/02/2021


AccueilEmploi et entrepriseMade in 92 : Newsbridge, une start-up boulonnaise primée
 

Sommaire
Rencontre avec le directeur administratif et financier de NewsbridgeParticiper à Made in 92

Partage Facebook Twitter

Haut de page


 La startup Newsbridge est une plateforme d’indexation et de valorisation de contenus audiovisuels par le biais de l’intelligence artificielle, basée à Boulogne-Billancourt. Elle a été primée lors de la 5ème édition du concours Made in 92.
 
Made in 92 : Newsbridge, une start-up boulonnaise primée en 2020
Face à la crise sanitaire, Seine Ouest Entreprise et Emploi et Grand Paris Seine Ouest s’associent à la CCI Hauts-de-Seine et au Département des Hauts-de-Seine pour soutenir les jeunes entreprises du territoire.
Créé en 1996, le concours Made in 92 a vocation à valoriser les jeunes entrepreneurs et mettre en avant leur potentiel. Plus de 40.000€ de dotations sont à gagner : les dépôts de candidature sont ouverts jusqu’au 15 mars 2021.
Rencontre avec le directeur administratif et financier de Newsbridge
Newsbridge est une plateforme d’indexation et de valorisation de contenus audiovisuels par le biais de l’intelligence artificielle, basée à Boulogne-Billancourt. Elle fournit ses services aux médias et aux ayant-droits sportifs. Le concours Made in 92 a permis à cette start-up de gagner en visibilité et de développer son réseau.
Comment avez-vous entendu parler du concours ?
En 2019, cela faisait un an que notre service était disponible auprès des médias et ayant-droits. Nous cherchions des financements pour nous développer et nous souhaitions déménager nos bureaux pour nous agrandir.
Christophe Moras, Cyril Cousin et Katia Foret de Seine Ouest Entreprise et Emploi nous ont accompagnés dans ces démarches et nous ont parlé du concours Made in 92, qui récompense les jeunes start-up du département des Hauts-de-Seine.
Le prix financier à la clé nous intéressait car il nous aurait aidé dans notre développement. Par ailleurs, le concours nous permettait d’obtenir une certaine exposition médiatique, ce qui nous donnerait potentiellement des contacts. Étant une start-up de services à destination des médias audiovisuels, les Hauts-de-Seine, et en particulier Boulogne-Billancourt, représentent un vivier de clients potentiels, regroupant plusieurs sièges des grands médias (TF1, Canal +, Arte, France 24 …).
Nous avons donc déposé notre candidature et avons été sélectionnés.
Comment avez-vous vécu cet événement ?
Nous avons été finalistes : il s’agissait de présenter notre start-up et ce qu’elle propose en 1 minute, devant un jury et le public réuni pour l’événement. C’est un exercice intéressant : le format très court impose de retravailler le discours, de le clarifier pour le grand public. Ce travail de préparation nous a servi par la suite. Par ailleurs, les moments d’échange avec le jury à l’issue de notre présentation étaient très enrichissants : nous avons été confrontés à des questions primordiales pour notre évolution.
De plus, participer au concours nous a permis de rencontrer des clients potentiels, présents à la soirée.
Que retenez-vous de cette expérience ?
Nous avons remporté un prix, le «Coaching Outscale » : c’est un partenariat de recherche et développement avec le Dassault Innovation Lab. Le domaine de l’intelligence artificielle est largement dominé par les Américains et nous avons eu l’opportunité de montrer qu’en Europe aussi, nous savons innover dans ce milieu.
En plus du prix, une invitation au Salon TechInnov nous a été offerte : nous y avons rencontré notamment l’agence innovation du Ministère de la Défense, qui était intéressée par notre travail.
Cet événement nous a donné de la visibilité, ainsi les groupes Airbus et Total nous ont également contacté afin d’établir un partenariat, et nous avons signé un contrat avec le groupe TF1.
Par ailleurs, le concours a bénéficié d’une couverture médiatique importante, ce qui nous a permis de gagner en notoriété de marque et nous avons observé une croissance de vente après y avoir participé. Made in 92 fut une expérience enrichissante qui nous a ouvert des portes pour développer notre réseau.

Participer à Made in 92
 
Vous avez lancé votre startup ? Vous dirigez une jeune entreprise dynamique de moins de 8 ans ? Plus de 40.000€ de dotations sont à gagner : vous avez jusqu’au 15 mars 2021 pour déposer votre candidature.
Informations et inscriptions

 



A lire également



Actualités


20 janvier 2023
                                Édition 2021 de Made in 92, le concours des jeunes entreprises des Hauts-de-Seine

                                Lire la suite





Actualités


13 avril 2021
                                Seine Ouest Commerce, un dispositif d’aide financière aux commerces indépendants et professionnels de santé libéraux
Grand Paris Seine Ouest, en partenariat avec la Chambre de Commerce et d’Industrie des Hauts-de-Seine, met en place « Seine Ouest Commerce », un dispositif de soutien financier aux commerces indépendants situés sur son territoire. Les professionnels de santé libéraux disposant d’un cabinet ou d’une officine sur le territoire peuvent également bénéficier de cette subvention.

                                Lire la suite





Actualités


20 janvier 2023
                                Solidarité : appel aux dons de matériel informatique pour les jeunes du territoire
Afin de réduire les inégalités face au numérique et équiper les jeunes éloignés de l’emploi ne disposant pas d’outils informatiques, Seine Ouest Entreprise et Emploi lance un appel solidaire auprès des entreprises de Grand Paris Seine Ouest pour faire don de matériels informatique.

                                Lire la suite







",,https://schema.org,BreadcrumbList,,,,,,,,,,"[{'@type': 'ListItem', 'position': 1, 'item': {'@id': 'https://www.seineouest.fr/', 'name': 'Grand Paris Seine Ouest'}}, {'@type': 'ListItem', 'position': 2, 'item': {'@id': 'https://www.seineouest.fr/category/actualites', 'name': 'Actualités'}}, {'@type': 'ListItem', 'position': 3, 'item': {'@id': 'https://www.seineouest.fr/newsbridge-laureat-2020-made-in-92', 'name': 'Made in 92 : Newsbridge, une start-up boulonnaise primée'}}]",,,,,,,
