URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,@context,@type,url,image,author,publisher,headline,datePublished,dateModified,articleSection,name,isAccessibleForFree,itemListElement,article:section,article:summary,article text,mainEntityOfPage,dateCreated,jobTitle,mainEntity,identifier,creator,breadcrumb,articleBody,isPartOf,mentions,hasPart,address,diversityPolicy,email,legalName,leiCode,telephone,logo,brand,thumbnailUrl,alternativeHeadline,speakable,specialty,mainContentOFPage,inLanguage,lastReviewed,target,foundingDate,slogan,contactPoint,sameAs,founder,numberOfEmployees,potentialAction,copyrightYear,contentLocation,associatedMedia
https://news.google.com/rss/articles/CBMimwFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2Jlcm5hcmRtYXJyLzIwMjEvMDEvMjkvdGhlLWFtYXppbmctd2F5cy13aWxkLW1lLXVzZXMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYW5kLWNpdGl6ZW4tc2NpZW50aXN0cy10by1oZWxwLXdpdGgtY29uc2VydmF0aW9uL9IBAA?oc=5,The Amazing Ways Wild Me Uses Artificial Intelligence And Citizen Scientists To Help With Conservation - Forbes,2021-01-29,Forbes,https://www.forbes.com,"Wildlife conservation is an enormous challenge. Wild Me, a non-profit organization, is leveraging the photos and videos of citizen scientists and the cloud, artificial intelligence, and computer vision to help track individual animals and to inform wildlife conservation efforts.","ai,artificial intelligence,wildlife,conservation,data sets,big data","Wildlife conservation is an enormous challenge. Wild Me, a non-profit organization, is leveraging the photos and videos of citizen scientists and the cloud, artificial intelligence, and computer vision to help track individual animals and to inform wildlife conservation efforts.","Wildlife conservation is an enormous challenge. Wild Me, a non-profit organization, is leveraging the photos and videos of citizen scientists and the cloud, artificial intelligence, and computer vision to help track individual animals and to inform wildlife conservation efforts.",http://schema.org,BreadcrumbList,https://www.forbes.com/sites/bernardmarr/2021/01/29/the-amazing-ways-wild-me-uses-artificial-intelligence-and-citizen-scientists-to-help-with-conservation/,"{'@type': 'ImageObject', 'url': 'https://imageio.forbes.com/specials-images/imageserve/60139ca26580dd95edd4bbc2/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds', 'width': 542.79, 'height': 304.6}","{'@type': 'Person', 'name': 'Bernard Marr', 'url': 'https://www.forbes.com/sites/bernardmarr/', 'description': 'Bernard Marr is a world-renowned futurist, board advisor and author of Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is Changing Business and Society. He has written over 20 best-selling and award-winning books and advises and coaches many of the world’s best-known organisations. He has a combined following of 4 million people across his social media channels and newsletters and was ranked by LinkedIn as one of the top 5 business influencers in the world. Follow Bernard on LinkedIn, X (Twitter) or YouTube. Join his newsletter, check out his website and books.', 'sameAs': ['https://www.linkedin.com/in/bernardmarr/', 'https://www.twitter.com/BernardMarr', 'https://bernardmarr.com/']}","{'@type': 'NewsMediaOrganization', 'name': 'Forbes', 'url': 'https://www.forbes.com/', 'ethicsPolicy': 'https://www.forbes.com/sites/forbesstaff/article/forbes-editorial-values-and-standards/', 'logo': 'https://imageio.forbes.com/i-forbesimg/media/amp/images/forbes-logo-dark.png?format=png&height=455&width=650&fit=bounds'}",The Amazing Ways Wild Me Uses Artificial Intelligence And Citizen Scientists To Help With Conservation,2021-01-29T00:28:40-05:00,2021-01-29T10:37:45-05:00,Enterprise Tech,The Amazing Ways Wild Me Uses Artificial Intelligence And Citizen Scientists To Help With Conservation,False,"[{'@type': 'ListItem', 'position': 1, 'name': 'Forbes Homepage', 'item': 'https://www.forbes.com/'}, {'@type': 'ListItem', 'position': 2, 'name': 'Innovation', 'item': 'https://www.forbes.com/innovation/'}, {'@type': 'ListItem', 'position': 3, 'name': 'Enterprise Tech', 'item': 'https://www.forbes.com/enterprise-tech/'}]",Enterprise Tech,N/A,"More From ForbesJul 15, 2024,09:02am EDTWhen Will Quantum Computers Affect Your Competitive Landscape?Jul 15, 2024,09:00am EDTAristotle’s Timeless Guide To Mastering AIOpsJul 15, 2024,03:25am EDTIEEE Travels In July (Japan, China And Greece)Jul 14, 2024,03:19am EDTMaking A More Accurate And Sustainable AI ModelJul 12, 2024,09:00am EDT‘Knowledge Is Power’: The Antipattern That Is Holding Your Team BackJul 12, 2024,07:00am EDTHow Generative AI Rattles the WorkplaceJul 11, 2024,12:49pm EDTReality Check: Generative AI’s Impact May Be Overstated, For NowEdit StoryForbesInnovationEnterprise TechThe Amazing Ways Wild Me Uses Artificial Intelligence And Citizen Scientists To Help With ConservationBernard MarrContributorOpinions expressed by Forbes Contributors are their own.FollowingFollowClick to save this article.You'll be asked to sign into your Forbes account.Got itJan 29, 2021,12:28am ESTUpdated Jan 29, 2021, 10:37am ESTThis article is more than 3 years old.Share to FacebookShare to TwitterShare to LinkedinDid you know that scientists have identified only 1.5 million species out of the 10 million estimated on Earth? And many of those species are vulnerable to extinction. Thanks to the efforts of the non-profit organization Wild Me, the gargantuan task of wildlife preservation is getting a much-needed assist from citizen scientists who photograph and video wildlife when traveling the world, plus high-tech solutions such as cloud computing, artificial intelligence, and machine vision.
The Amazing Ways Wild Me Uses Artificial Intelligence And Citizen Scientists To Help With ... [+] ConservationAdobe Stock

Creating Collaborative Data Sets

To make the progress on wildlife conservation that’s necessary, it’s going to take pulling data out of proprietary data sets and joining them into collaborative data sets. This is precisely what Wild Me and its Wildbook platform can do for the effort. The human effort it would take to sort through and classify images and videos of each animal is prohibitively time-consuming. With cloud computing and artificial intelligence, not only does the accuracy improve, but it reduces the time of identifying individual animals from hours when humans do it down to seconds when machines are on the job.

Once the specific animal is identified by the machine analyzing its unique markings, including stripes, spots, and other defining physical features such as scars, the location, time, and date of the image is recorded. Over time, the records for each animal continue to grow as more citizen scientists and researchers add to the image catalog. The data that's collected about each animal can be used by wildlife experts to track the health, migration, and other important facts about a species. Scientists can use this species info along with climate, geographic, behavioral, and environmental data to better understand the ecological and conservation issues they are facing.

PROMOTED
Wild Me started off by tracking whale sharks, a project that launched in 2003 after Jason Holmberg, director of engineering for Wild Me and chief information architect of Wildbook, went scuba diving and saw his first whale shark. After that first encounter, he joined a research expedition and learned how whale sharks were being tracked at the time by using plastic tags. Unfortunately, these plastic tags were rarely re-sighted, therefore making the ability to collect sufficient data on each individual animal nearly impossible.
Holmberg believed there was a more effective way to track animals by using computer vision. He set out to develop the algorithm and the platform to do just that. Wild Me and Wildbook are the result. 
MORE FROMFORBES ADVISORBest High-Yield Savings Accounts Of September 2023ByKevin PayneContributorBest 5% Interest Savings Accounts of September 2023ByCassidy HortonContributor
Today, Wild Me uses computer vision algorithms to identify whale sharks based on their unique markings from the photos taken around the world by tour operators, tourists, and researchers. They have tagged more than 8,100 whale sharks since the project began, thanks to the contributions of citizen scientists. The success of this database has prompted many other researchers to realize the potential of the citizen-scientist model for their conservation efforts, including projects focused on zebras, humpback whales, ragged-tooth sharks, polar bears, and more. Wild Me made its Wildbook platform open source to allow others to use this non-invasive tracking of species. 









DailyDozen
US


Forbes Daily: Join over 1 million Forbes Daily subscribers and get our best stories, exclusive reporting and essential analysis of the day’s news in your inbox every weekday.




                Sign Up
            


By signing up, you agree to receive this newsletter, other updates about Forbes and its affiliates’ offerings, our Terms of Service (including resolving disputes on an individual basis via arbitration), and you acknowledge our Privacy Statement. Forbes is protected by reCAPTCHA, and the Google Privacy Policy and Terms of Service apply.




You’re all set! Enjoy the Daily!


                More Newsletters
            


You’re all set! Enjoy the Daily!

                More Newsletters
            



To make the Wildbook platform better equipped to scale and handle many more endangered species, Wild Me is working with Microsoft and its AI for Earth program. Now that Wild Me and Microsoft are collaborating, they have grand ambitions that could include expanding the artificial intelligence tools to many more species as well as launching a tweet bot. Already an intelligent agent tags ""whale shark"" on YouTube videos nightly by using machine learning and natural language processing to read the video description to determine if the video's description includes info about the animal.


1/1





Skip Ad
 
Continue watchingafter the adVisit Advertiser websiteGO TO PAGE
By 2100, 38 percent of all species will be extinct without action and intervention. Insights from data and the processing power that comes with the cloud and artificial intelligence can be instrumental in understanding the issue and how extinction could be prevented. These efforts are most certainly time-sensitive, so any technology that can speed the efforts are necessary. The beauty of Wild Me and its efforts is the combination of citizen scientists participating to submit the data, images, and videos required for the machines to yield insights about wildlife conservation. The public also has the ability to follow their favorite animals and to contribute to the global conservation effort. 
There’s no doubt Wild Me’s innovations have revolutionized animal identification. It’s a spectacular example of what can result when humans and machines combine efforts for the greater good.
Follow me on Twitter or LinkedIn. Check out my website or some of my other work here. Bernard MarrFollowingFollowBernard Marr is a world-renowned futurist, board advisor and author of Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is... Read MoreEditorial StandardsPrintReprints & Permissions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5jb2UuaW50L2VuL3dlYi9hcnRpZmljaWFsLWludGVsbGlnZW5jZS8tL2ZhY2lhbC1yZWNvZ25pdGlvbi1zdHJpY3QtcmVndWxhdGlvbi1pcy1uZWVkZWQtdG8tcHJldmVudC1odW1hbi1yaWdodHMtdmlvbGF0aW9uc9IBAA?oc=5,Facial recognition: strict regulation is needed to prevent human rights violations - Council of Europe,2021-01-29,Council of Europe,https://www.coe.int,Latest news of the Council of Europe's work related to AI,"newsroom,ai,dg1 human rights and rule of law,central division dg1,public,compulsory,general, news, ai, council of europe",Latest news of the Council of Europe's work related to AI, Strasbourg 28 January 2021,https://schema.org,WebPage,,"{'@type': 'ImageObject', 'url': 'https://www.coe.int/documents/40452431/43026603/facial+recognition+DP.jpg/75af6869-31a9-b632-bf87-ebe2eff0e263', 'height': 489, 'width': 870}","{'@type': 'Organization', 'name': 'Council of Europe'}","{'@type': 'Organization', 'name': 'Council of Europe', 'logo': {'@type': 'ImageObject', 'url': 'https://static.coe.int/pics/logos/desktop/logo-coe-google-news.png', 'width': 78, 'height': 60}}",Facial recognition: strict regulation is needed to prevent human rights violations,2021-01-29T15:08:00+00:00,2024-05-17,,News,,,N/A,N/A,"

Strasbourg
28 January 2021


                Diminuer la taille du texte
            

                Augmenter la taille du texte
            

                Imprimer la page
            




©Shutterstock

The Council of Europe has called for strict rules to avoid the significant risks to privacy and data protection posed by the increasing use of facial recognition technologies. Furthermore, certain applications of facial recognition should be banned altogether to avoid discrimination.
In a new set of guidelines addressed to governments, legislators and businesses, the 47-state human rights organisation proposes that the use of facial recognition for the sole purpose of determining a person’s skin colour, religious or other belief, sex, racial or ethnic origin, age, health or social status should be prohibited.
This ban should also be applied to “affect recognition” technologies – which can identify emotions and be used to detect personality traits, inner feelings, mental health condition or workers´ level of engagement – since they pose important risks in fields such as employment, access to insurance and education.
“At is best, facial recognition can be convenient, helping us to navigate obstacles in our everyday lives. At its worst, it threatens our essential human rights, including privacy, equal treatment and non-discrimination, empowering state authorities and others to monitor and control important aspects of our lives – often without our knowledge or consent,” said Council of Europe Secretary General Marija Pejčinović Burić.
“But this can be stopped. These guidelines ensure the protection of people’s personal dignity, human rights and fundamental freedoms, including the security of their personal data.”
The guidelines state that a democratic debate is needed on the use of live facial recognition in public places and schools, in light of their intrusiveness, and possibly also on the need for a moratorium pending further analysis.
The use of covert live facial recognition technologies by law enforcement would only be acceptable if strictly necessary and proportionate to prevent imminent and substantial risks to public security that are documented in advance.
Private companies should not be allowed to use facial recognition in uncontrolled environments, such as shopping centres, for marketing or private security purposes.
The guidelines were developed by the Consultative Committee of the Council of Europe Convention for the Protection of Individuals with regard to Automatic Processing of Personal Data, which brings together experts representing the 55 states parties to the Convention as well as 20 observer countries.
The Convention, the first ever binding international treaty addressing the need to protect personal data, was opened for signature in Strasbourg forty years ago today, on 28 January 1981.
 
More information:

Data Protection
Artificial Intelligence

","{'@type': 'WebPage', '@id': 'https://www.coe.int/en/web/artificial-intelligence/-/facial-recognition-strict-regulation-is-needed-to-prevent-human-rights-violations'}",2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vd3d3Lm1ja2luc2V5LmNvbS9vdXItcGVvcGxlL2FsZXhhbmRlci1zdWtoYXJldnNredIBAA?oc=5,Alexander Sukharevsky - McKinsey,2021-01-30,McKinsey,https://www.mckinsey.com,"Global leader of QuantumBlack, AI by McKinsey, working across industries to redefine business models and improve performance through the responsible use of artificial intelligence and technology",N/A,"Global leader of QuantumBlack, AI by McKinsey, working across industries to redefine business models and improve performance through the responsible use of artificial intelligence and technology",N/A,https://schema.org,Person,,,,,,,,,Alexander Sukharevsky,,,N/A,N/A,N/A,,,"Senior Partner, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
