URL link,Title,Date,Source,Source Link,description,keywords,og:description,twitter:description,@context,@type,url,image,author,publisher,headline,datePublished,dateModified,articleSection,name,isAccessibleForFree,itemListElement,article:section,article:summary,article text,mainEntity,thumbnailUrl,mainEntityOfPage,@graph,inLanguage,alternativeHeadline,hasPart,comment,commentCount,copyrightHolder,sourceOrganization,copyrightYear,isPartOf,logo,@id,diversityPolicy,ethicsPolicy,masthead,foundingDate,sameAs,articleBody,dateCreated
https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZ2xlbm5nb3cvMjAyMi8xMC8zMC90aGUtYXJndW1lbnQtZm9yLWFuLWFpLWF1Z21lbnRlZC13b3JrZm9yY2Uv0gEA?oc=5,The Argument For An AI Augmented Workforce - Forbes,2022-10-30,Forbes,https://www.forbes.com,"Companies will apply AI to the work that humans either should not, will not, or can not do, making the workplace safer and more efficient than ever before. ","Artificial Intelligence,Booz Allen Hamilton,Augmented,AI,workforce,safety,labor shortage","Companies will apply AI to the work that humans either should not, will not, or can not do, making the workplace safer and more efficient than ever before. ","Companies will apply AI to the work that humans either should not, will not, or can not do, making the workplace safer and more efficient than ever before. ",http://schema.org,BreadcrumbList,https://www.forbes.com/sites/glenngow/2022/10/30/the-argument-for-an-ai-augmented-workforce/,"{'@type': 'ImageObject', 'url': 'https://imageio.forbes.com/specials-images/imageserve/635db3825570dc9d8908fd12/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds', 'width': 542.79, 'height': 304.6}","{'@type': 'Person', 'name': 'Glenn Gow', 'url': 'https://www.forbes.com/sites/glenngow/', 'description': 'I am a CEO Coach, a Keynote Speaker on AI, and a Board Member (glenngow.com). Get CEO Coaching by AI at glenngow.com/AI-CEO-Coach', 'sameAs': ['https://www.linkedin.com/in/glenngow/', 'https://www.glenngow.com/the-ai-guy-for-boards/']}","{'@type': 'NewsMediaOrganization', 'name': 'Forbes', 'url': 'https://www.forbes.com/', 'ethicsPolicy': 'https://www.forbes.com/sites/forbesstaff/article/forbes-editorial-values-and-standards/', 'logo': 'https://imageio.forbes.com/i-forbesimg/media/amp/images/forbes-logo-dark.png?format=png&height=455&width=650&fit=bounds'}",The Argument For An AI Augmented Workforce,2022-10-30T06:00:00-04:00,2022-11-02T00:10:08-04:00,CFO Network,The Argument For An AI Augmented Workforce,False,"[{'@type': 'ListItem', 'position': 1, 'name': 'Forbes Homepage', 'item': 'https://www.forbes.com/'}, {'@type': 'ListItem', 'position': 2, 'name': 'Leadership', 'item': 'https://www.forbes.com/leadership/'}, {'@type': 'ListItem', 'position': 3, 'name': 'CFO Network', 'item': 'https://www.forbes.com/cfo-network/'}]",CFO Network,N/A,"More From ForbesJul 16, 2024,01:45pm EDTPrivate Equity Is Coming For Your AC RepairmanJul 14, 2024,06:00am EDTAI's Double-Edged Sword: Managing Risks While Seizing OpportunitiesJul 11, 2024,05:00am EDTKathy Wagner: A Leader Interested In Vision, Growth, And Fast CarsJul 8, 2024,09:57pm EDTThe Fed’s SVB Like WoesJul 1, 2024,12:09pm EDTWhy Don’t We Ask Companies And Auditors To Disclose Their Materiality Standards?Jun 26, 2024,06:00am EDTThe SEC’s Cyber Disclosure Rules: Lessons Learned So Far In Year OneJun 26, 2024,03:54am EDTEric Kutcher: From Engineering To Finance Leader At McKinseyEdit StoryForbesLeadershipCFO NetworkThe Argument For An AI Augmented WorkforceGlenn GowContributorOpinions expressed by Forbes Contributors are their own.CEO Coach, Keynote Speaker on AI, Board Member. (glenngow.com)FollowingFollowClick to save this article.You'll be asked to sign into your Forbes account.Got it0Oct 30, 2022,06:00am EDTUpdated Nov 2, 2022, 12:10am EDTShare to FacebookShare to TwitterShare to LinkedinA robot augments fast-food workers.Miso Robotics
(This article is part of a series on Artificial Intelligence for Board Members and Senior Executives.)


When discussing artificial intelligence, many people express concern about AI replacing humans in the workforce. Some jobs will undoubtedly be replaced, but that is not necessarily a bad thing.

Early on, companies will apply AI to the work that humans either should not, will not or can not do, making the workplace safer and more efficient than ever before.

Here’s exactly what I mean:

PROMOTED
1. Jobs AI can do that humans should not
Industries like logging, oil rig work, metal foundries, electrical line repair, roofing, and chemical factories are the cause of 2.3 million workplace deaths, 160 million illnesses, and 340 million accidents worldwide, according to the International Labor Organization. This comes at a global cost of $2.8 trillion, and an incalculable personal cost to those who lose loved ones.
It doesn’t have to be this way. The most obvious ways that an AI augmented workforce can help involve automation and robotics like: welding, the application of toxic paints and adhesives, lifting, moving, and stacking heavy items and delivering goods with autonomous vehicles. Artificial intelligence technologies like computer vision and machine learning often enable machines to do these jobs as effectively as humans, without nearly as many safety concerns.
MORE FROMFORBES ADVISORBest Travel Insurance CompaniesByAmy DaniseEditorBest Covid-19 Travel Insurance PlansByAmy DaniseEditor
Looking deeper, AI can reduce workplace hazards even when humans execute the labor. Computer vision systems from companies like Intenseye and HGS monitor warehouses, factory floors, and other work environments to identify objects in the path of forklifts, unstable goods stacking, and even dangerous employee behavior like misuse of protective gear or execution of unauthorized work. Meanwhile, machine learning algorithms use data to predict when accidents are most likely to happen based on time of day, hours an employee has been working, age, experience, and a constellation of other factors too sophisticated for human supervisors to parse alone.









CxO
US


CEO: C-suite news, analysis, and advice for top decision makers right to your inbox.




                Sign Up
            


By signing up, you agree to receive this newsletter, other updates about Forbes and its affiliates’ offerings, our Terms of Service (including resolving disputes on an individual basis via arbitration), and you acknowledge our Privacy Statement. Forbes is protected by reCAPTCHA, and the Google Privacy Policy and Terms of Service apply.




You’re all set! Enjoy the CEO newsletter!


                More Newsletters
            


You’re all set! Enjoy the CEO newsletter!

                More Newsletters
            



AI can even be used in training to proactively reduce accidents. Companies like Taqtile, Atheer, and Ario already use immersive technologies like VR and AR to prepare front line workers for difficult and dangerous roles. Consulting firm Booz Allen Hamilton predicts that AI solutions like natural language processing, artificial neural networks, and deep learning will soon be used to accustom workers to random but realistic workplace hazards so that they will be better prepared if such unpredictable events occur on the job in real life.


1/1





Skip Ad
 
Continue watchingafter the adVisit Advertiser websiteGO TO PAGE
2. Jobs AI can do that humans will not
How about jobs that humans simply prefer not to do? I am talking about repetitive, boring, and low-paying roles that employers find difficult to keep filled. Industries including agriculture, food service, durable goods manufacturing, and retail are facing an unprecedented labor shortage that some are predicting will last for decades.
AI-driven chatbots, perhaps one of the best-known labor shortage solutions out there, are at the tip of the spear. By removing the most tedious and predictable tasks from human customer service representatives, chatbots reduce not only the number of warm bodies needed at a call center, but also the fatigue and frustration that phone representatives feel answering the same mundane questions over and over again.
Likewise, machine learning in scheduling applications like those from Zira, Celayix, and Rotageek help allocate the right retail staff to the right locations at the right time, reducing inefficiencies and making the most of a thinly-stretched retail workforce. Hyper Food Robotics goes one further, with a completely autonomous fast food store that cuts human labor requirements down to virtually zero.
AI, together with robotics and automation, can play a crucial role in reviving American manufacturing despite the labor shortage. Canon’s 3D Machine Vision system, for example, uses AI to execute human-like fine motor skill activities. This also extends to food production: Carbon Robotics produces an autonomous weeding machine which uses computer vision to distinguish weeds from crops and destroys them with a precision laser.
3. Jobs AI can do that humans can not
There is one more area where AI in the workforce can add tremendous value—jobs for which human beings lack the time, ability or the mental acuity to do. Imagine examining millions of business transactions or job candidate resumes, for instance, to identify insights that correlate to success. That’s incredibly complex and time-consuming, and now—unnecessary.
AI-powered supply chain startups like Quantiful and Remi and LeanDNA can help manufacturers, wholesalers, and retailers decide what products to order when, what new products to develop, how to position and price them, and what volume of demand they should expect, based on diverse data such as: historical sales, economic conditions, seasonal trends, and product lifecycle. Meanwhile, HR software vendors like Praisidio, Eightfold and Findem use AI to source, evaluate, interview, and retain employees.
The list goes on. Imagine analyzing thousands of customer accounts to identify and prevent fraud. Imagine designing industrial products with every possible machine stressor, environmental condition, and human error in mind. Or imagine trying to analyze the demographics and buying behavior of millions of consumers to discover micro markets and personalize marketing offers.
Whatever complex set of business conditions you can imagine, it is more likely than not that someone is working on an AI solution that can provide far more speed, accuracy, and nuance than any human could ever do alone.
There is a true groundswell of innovative AI workforce solutions coming to reshape the business landscape. Instead of worrying about AI replacing humans in the workforce, we should celebrate the potential of artificial intelligence to relieve us of undesirable work and empower us to do more meaningful work than we are capable of on our own.
If you care about how AI is determining the winners and losers in business, and how you can leverage AI for the benefit of your organization, I encourage you to stay tuned. I write (almost) exclusively about how senior executives, board members, and other business leaders can use AI effectively. You can read past articles and be notified of new ones by clicking the “follow” button here.
Follow me on LinkedIn. Check out my website. Glenn GowFollowingFollowI am a CEO Coach, a Keynote Speaker on AI, and a Board Member (glenngow.com). Get CEO Coaching by AI at glenngow.com/AI-CEO-CoachEditorial StandardsPrintReprints & PermissionsJoin The ConversationComments 0One Community. Many Voices. Create a free account to share your thoughts. Read our community guidelines  here.Forbes Community GuidelinesOur community is about connecting people through open and thoughtful conversations. We want our readers to share their views and exchange ideas and facts in a safe space.In order to do so, please follow the posting rules in our site's Terms of Service.  We've summarized some of those key rules below. Simply put, keep it civil.Your post will be rejected if we notice that it seems to contain:False or intentionally out-of-context or misleading informationSpamInsults, profanity, incoherent, obscene or inflammatory language or threats of any kindAttacks on the identity of other commenters or the article's authorContent that otherwise violates our site's terms.User accounts will be blocked if we notice or believe that users are engaged in:Continuous attempts to re-post comments that have been previously moderated/rejectedRacist, sexist, homophobic or other discriminatory commentsAttempts or tactics that put the site security at riskActions that otherwise violate our site's terms.So, how can you be a power user?Stay on topic and share your insightsFeel free to be clear and thoughtful to get your point across‘Like’ or ‘Dislike’ to show your point of view.Protect your community.Use the report tool to alert us when someone breaks the rules.Thanks for reading our community guidelines.  Please read the full list of posting rules found in our site's Terms of Service.",,,,,,,,,,,,,,,,,,,,,,
https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vbWl0c2xvYW4ubWl0LmVkdS9pZGVhcy1tYWRlLXRvLW1hdHRlci9uZXctYm9vay1leHBsb3Jlcy1ob3ctYWktcmVhbGx5LWNoYW5nZXMtd2F5LXdlLXdvcmvSAQA?oc=5,New book explores how AI really changes the way we work - MIT Sloan News,2022-10-31,MIT Sloan News,https://mitsloan.mit.edu,"A new book shows that successful firms are using artificial intelligence to complement human workers, not replace them.",N/A,"A new book shows that successful firms are using artificial intelligence to complement human workers, not replace them.","A new book shows that successful firms are using artificial intelligence to complement human workers, not replace them.",,,,,,,,,,,,,,N/A,N/A,"
 










recent




Jul 18, 2024
The bottom-line benefits of second chance hiring




Jul 17, 2024
Federal spending was responsible for the 2022 spike in inflation




Jul 16, 2024
Making generative AI work in the enterprise: New from MIT SMR


















Credit: FGC / Shutterstock















Ideas Made to Matter


                        Artificial Intelligence


New book explores how AI really changes the way we work

By
Brian Eastwood

Oct 31, 2022






Why It Matters		



A new book shows that successful firms are using artificial intelligence to complement human workers, not replace them. 



















Share













































































facebook
X
linkedin
email
print

open share links
close share links

One of the earliest predictions about artificial intelligence was that robots would steal jobs from people, particularly for seemingly monotonous and menial tasks.
Case in point: Flippy 2, the “autonomous robotic kitchen assistant” developed by Miso Robotics to turn hamburgers as they cook. The restaurant chain CaliBurger is testing Flippy at various locations. But what the robot is best at doing isn’t what it was designed to do.



Work smart with our Thinking Forward newsletterInsights from MIT experts, delivered every Tuesday morning.
Email Address









Leave this field blank





“[A CaliBurger franchise owner] said, ‘Flippy isn’t actually as good as I might have liked at flipping hamburgers, but it’s pretty good at pulling baskets of French fries out when they’re done,’” said Thomas Davenport, a digital fellow at the MIT Initiative on the Digital Economy. “We've known for a while that AI and robots might take the jobs of burger flippers — but it hasn't happened yet.”
Davenport’s new book, “Working With AI: Real Stories of Human-Machine Collaboration,” looks at 29 examples of humans working with AI-enabled systems, showing when and how AI works best and how companies can use AI responsibly. The book is co-authored by Singapore Management University professor Steven M. Miller.
The common theme is that AI is augmenting the work that humans do, not fully automating it. That means many jobs are safe, Davenport said during a recent webinar hosted by the MIT Sloan Management Review.
“One of our major conclusions is [augmentation] doesn’t appear to result in job loss,” Davenport said.
Davenport and Miller outlined how companies are implementing AI to the best advantage:
AI works best in “normal” conditions
Miller defined automation as a process in which a machine completes enough tasks that the human who was previously doing them is effectively displaced. Augmentation, on the other hand, is the automation of smaller tasks, not an entire job.
“The human stays involved in direct execution,” Miller said.
This distinction is important, and it helps to explain scenarios when organizations would look to use one or the other.
“AI is great at operating a machine under what we think of as normal conditions. Under expected circumstances, AI is really good at keeping things going,” Davenport said.
One example is looking for keywords in lengthy documents such as legal contracts or health records and producing results in seconds. Another is monitoring information from thousands or even millions of sources, whether sensors on a manufacturing floor or cybersecurity monitoring tools. These types of processes can be labor-intensive for humans but are easy for machines.
“Full automation works really well when you're in familiar territories and when the nature of variance and the nature of the unexpected is somewhat familiar. You can really drive for that efficiency, consistency, optimization, and productivity,” Miller said.
Of course, conditions are rarely normal enough for AI to run without human intervention. That’s why Flippy needs an experienced cook to know which part of the grill is the hot spot that cooks burgers faster. That’s why the robotic weed-puller developed by agtech company FarmWise still needs a farmer walking behind it to make sure the plant it’s clutching isn’t a vegetable. (Though this still beats the historic technique of spraying dangerous chemicals over the entire crop to kill the weeds.)
That’s why autonomous vehicles work well in the dry air of Las Vegas or Phoenix but haven’t made their way to rainy or snowy climates.
“I dread the day that they come to Boston in the middle of the winter,” Davenport said.
4 situations when AI augmentation makes sense
The concept of augmentation is hardly new. Humans started using stone tools thousands of years ago. It’s also familiar to knowledge workers who no longer need a calculator on their desks.
“Anybody who’s used a spreadsheet understands the power of augmentation,” Miller said.
Still, augmentation enabled by AI is often underappreciated in today’s enterprises.
“There are more opportunities than people assume,” Miller said.
Davenport and Miller provided examples that fit into four broad and overlapping categories:
When companies want to experiment. Product development is especially expensive in the pharmaceutical industry, where the median R&D cost for new drugs is now north of $1 billion. Instead of spending up to a year working on a drug only to realize that it’s not going to work, pharma manufacturers are creating AI infrastructure to assess their data and evaluate potential use cases for a new drug in as little as two weeks, Davenport said. Not only does this support frontline workers, it also leads to new “data product” roles to manage these AI use cases.
When there’s a lot of pencil-pushing. “Every businessperson we meet, and any company we talk to, almost always has the same lament: ‘We have so much to do, and we don't have the headcount to do it.’ At the same time, they complain about how much grunt work they have to do,” Miller said. In these situations, he added, automation will free up employees to do more of the experimental work augmented by AI, from product development to predictive analytics.
When things are happening quickly. Cybersecurity monitoring software can assess threats from millions of sources in real time. Some tools can also prioritize threats and even automatically respond to them — by shutting down a compromised device, for example. But in “complicated and nuanced cases,” Miller said it takes an experienced security analyst to assess all the data collected and determine whether something is a one-off incident or an indication of a pattern of attacks that may require mitigation on a larger scale.
When workers want a recommendation. When consumers put their trust in health care professionals, augmentation acts as form of decision support. For example, AI looks at the available information and makes a recommendation, but the final decision is up to the doctor in front of the computer. In countries such as China and Indonesia, where hundreds of millions of patients have access to AI-powered diagnostic tools such as Ping An Good Doctor, “A physician actually has to produce the diagnosis and the treatment, or else it’s not valid,” Davenport said. “But the AI system does save the doctor a lot of time and effort.”
How to work with AI in responsible ways 
Moving ahead with AI augmentation means accepting that machines are better than humans at some tasks.
Again, this concept isn’t new. “We’ve always had super tools. We have jet airplanes, we have cars, we have power shovels and cranes,” Miller said. “Now we have super tools that can do non-routine, cognitive-oriented things.”
Related Articles


Measuring the actual impact of robots on jobs


Real-world use cases for artificial intelligence


The lure of 'so-so technology,' and how to avoid it


At the same time, machines can’t bring in all the dimensions of intelligence. Citing the theory of adaptive intelligence from Robert J. Sternberg of Cornell University, Miller said the human mind is particularly suited for creativity, wisdom, and context — not just realizing that something can be done, but whether it should be done. In other words, don’t underestimate what humans can do.
The most effective and responsible use cases for AI augmentation are more than rudimentary tasks or job automation. The goal should be to bring humans and machines together to achieve a level of intelligence higher than what a human or a machine could achieve on its own, Miller said. The whole should be greater than the sum of its parts.
In doing this, enterprises can expect to create new types of products and services, as well as new types of work. But this comes with two clear caveats: Workers need the right skills to use AI systems, and they need to see that AI is helping them and not going to replace them.
“We really need to step up and help people adapt to some of these new tools,” Davenport said. “We need to retrain workers and engage them in this new type of work.”
Watch the webinar
Read next: Sec’s Gary Gensler on how AI is changing finance









































For more info
Sara Brown
Senior News Editor and Writer


sbrown1@mit.edu






Related Articles












Ideas Made to Matter

Making generative AI work in the enterprise: New from MIT SMR












Ideas Made to Matter

How to tap AI’s potential while avoiding its pitfalls 












Ideas Made to Matter

How can we preserve human ability in the age of machines?



",,,,,,,,,,,,,,,,,,,,,,
