Unnamed: 0,URL Link,Date,Source,Source Link,Title,Description,Text to Process,Preprocessed Text,Value,Sentiment
0,https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jby51ay9uZXdzL3RlY2hub2xvZ3ktNTE2NzMyOTbSATJodHRwczovL3d3dy5iYmMuY28udWsvbmV3cy90ZWNobm9sb2d5LTUxNjczMjk2LmFtcA?oc=5,2020-02-28,BBC,https://www.bbc.co.uk,AI ethics backed by Pope and tech giants in new plan,The Church signed up to the future of AI - an ethical one - along with Microsoft and IBM.,AI ethics backed by Pope and tech giants in new plan The Church signed up to the future of AI - an ethical one - along with Microsoft and IBM.,ai ethic backed pope tech giant new plan church signed future ai ethical one along microsoft ibm,0.6518684029579163,positive
1,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lm1ja2luc2V5LmNvbS9mZWF0dXJlZC1pbnNpZ2h0cy9mdXR1cmUtb2Ytd29yay90aGUtZnV0dXJlLW9mLXdvcmstaW4tdHVya2V50gEA?oc=5,2020-02-28,McKinsey,https://www.mckinsey.com,The future of work in Turkey,"Automation, artificial intelligence, and digital technologies will reshape employment in coming years. New research looks closer at what that means for talent and the Turkish workforce.","The future of work in Turkey Automation, artificial intelligence, and digital technologies will reshape employment in coming years. New research looks closer at what that means for talent and the Turkish workforce.",future work turkey automation artificial intelligence digital technology reshape employment coming year new research look closer mean talent turkish workforce,0.8594725131988525,positive
2,https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2NvZ25pdGl2ZXdvcmxkLzIwMjAvMDIvMjgvaG93LXdlLWVkdWNhdGUtb3VyLWNoaWxkcmVuLXdpbGwtY2hhbmdlLWluLXRoZS1hZ2Utb2YtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2Uv0gEA?oc=5,2020-02-28,Forbes,https://www.forbes.com,How We Educate Our Children Will Change In The Age Of Artificial Intelligence,"In the age of artificial intelligence, technology has given us many online tools, apps, and robots to help us educate our children.","How We Educate Our Children Will Change In The Age Of Artificial Intelligence In the age of artificial intelligence, technology has given us many online tools, apps, and robots to help us educate our children.",educate child change age artificial intelligence age artificial intelligence technology given u many online tool apps robot help u educate child,0.8664576411247253,negative
3,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vZW1lcmouY29tL2FpLXNlY3Rvci1vdmVydmlld3MvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYXQtaHNiYy_SAQA?oc=5,2020-02-26,Emerj,https://emerj.com,Artificial Intelligence at HSBC – 2 Use,"Find out what HSBC is doing with artificial intelligence, including the anti-money laundering software it bought from prominent AI vendor Ayasdi.","Artificial Intelligence at HSBC – 2 Use Find out what HSBC is doing with artificial intelligence, including the anti-money laundering software it bought from prominent AI vendor Ayasdi.",artificial intelligence hsbc use find hsbc artificial intelligence including antimoney laundering software bought prominent ai vendor ayasdi,0.7057142853736877,negative
4,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LnZveC5jb20vcmVjb2RlLzIwMjAvMi8yOC8yMTE1Nzc2MC9wb3BlLXZhdGljYW4tYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2XSAQA?oc=5,2020-02-28,Vox.com,https://www.vox.com,The Catholic Church and Pope Francis plan to fight back against AI,"The Vatican’s interest in artificial intelligence isn’t new, but pay attention to the tech companies that are joining along.","The Catholic Church and Pope Francis plan to fight back against AI The Vatican’s interest in artificial intelligence isn’t new, but pay attention to the tech companies that are joining along.",catholic church pope francis plan fight back ai vatican interest artificial intelligence isnt new pay attention tech company joining along,0.9669272303581238,negative
5,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LnNpbGljb252YWxsZXkuY29tLzIwMjAvMDIvMjkvbWFjaGluZXMtZHJpdmUtYmV0dGVyLWJhdHRlcnktZGVzaWducy_SAVNodHRwczovL3d3dy5zaWxpY29udmFsbGV5LmNvbS8yMDIwLzAyLzI5L21hY2hpbmVzLWRyaXZlLWJldHRlci1iYXR0ZXJ5LWRlc2lnbnMvYW1wLw?oc=5,2020-02-29,Silicon Valley,https://www.siliconvalley.com,Machines drive better battery designs: Study,"How many scientists does it take to design a better battery? According to a new study, artificial intelligence might do it better and faster than human scientists ever could.","Machines drive better battery designs: Study How many scientists does it take to design a better battery? According to a new study, artificial intelligence might do it better and faster than human scientists ever could.",machine drive better battery design study many scientist take design better battery according new study artificial intelligence might better faster human scientist ever could,0.9977467656135559,negative
6,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmF2ZW5pci1zdWlzc2UuY2gvZW4vYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYW5kLXRoZS10ZWxlcGhvbmUtb3BlcmF0b3Iv0gEA?oc=5,2020-02-27,Avenir Suisse,https://www.avenir-suisse.ch,Artificial Intelligence and the Telephone Operator,"Switchboard operators' recollections teach us about how to handle new technologies, and prove, despite artificial intelligence, certain activities and professions will not disappear quickly.","Artificial Intelligence and the Telephone Operator Switchboard operators' recollections teach us about how to handle new technologies, and prove, despite artificial intelligence, certain activities and professions will not disappear quickly.",artificial intelligence telephone operator switchboard operator recollection teach u handle new technology prove despite artificial intelligence certain activity profession disappear quickly,0.9802201986312866,negative
7,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LnpkbmV0LmNvbS9hcnRpY2xlL2RldmVsb3Blci1mb3ItcGF5LWFuZC1qb2Itb3BlbmluZ3MtdGhlc2UtYXJlLXRoZS1iZXN0LXJvbGVzL9IBAA?oc=5,2020-02-28,ZDNet,https://www.zdnet.com,"Developer: For pay and job openings, these are the best roles","Tech jobs shape up to be the safest and best-paying options for job seekers, according to job-search site Indeed.","Developer: For pay and job openings, these are the best roles Tech jobs shape up to be the safest and best-paying options for job seekers, according to job-search site Indeed.",developer pay job opening best role tech job shape safest bestpaying option job seeker according jobsearch site indeed,0.9911873936653137,positive
8,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LnVhbGJlcnRhLmNhL3NjaWVuY2UvbmV3cy8yMDIwL2ZlYnJ1YXJ5L2JpYXMtcmVzZWFyY2gtZnVuZGluZy5odG1s0gEA?oc=5,2020-02-26,University of Alberta,https://www.ualberta.ca,Using AI to combat gender and ethnic bias in the job market,International project aims to identify and reduce bias in job recruitment and human resource management using responsible artificial intelligence,Using AI to combat gender and ethnic bias in the job market International project aims to identify and reduce bias in job recruitment and human resource management using responsible artificial intelligence,using ai combat gender ethnic bias job market international project aim identify reduce bias job recruitment human resource management using responsible artificial intelligence,0.9484604001045227,positive
9,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlL2FpLWRpc3J1cHRpbmctY3VycmVudC13b3JrcGxhY2UtYmV0dGVyLXByb2R1Y3Rpdml0edIBdmh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2FtcC9zdG9yeS9hcnRpZmljaWFsLWludGVsbGlnZW5jZS9haS1kaXNydXB0aW5nLWN1cnJlbnQtd29ya3BsYWNlLWJldHRlci1wcm9kdWN0aXZpdHk?oc=5,2020-02-28,Analytics Insight,https://www.analyticsinsight.net,How AI is Disrupting the Current Workplace for Better Productivity?,Artificial Intelligence has emerged out as a boon for modern-day workplaces. It is making mundane and dull office work more interesting and productive. AI also ,How AI is Disrupting the Current Workplace for Better Productivity? Artificial Intelligence has emerged out as a boon for modern-day workplaces. It is making mundane and dull office work more interesting and productive. AI also ,ai disrupting current workplace better productivity artificial intelligence emerged boon modernday workplace making mundane dull office work interesting productive ai also,0.8845486044883728,positive
